functionname,protocol,device,subdevice,function
POWER,NEC,1,-1,7
MUTE,NEC,1,-1,8
TITLE,NEC,1,-1,9
SCREEN,NEC,1,-1,10
EJECTCD,NEC,1,-1,11
CHAPMENU,NEC,1,-1,12
SUBTITLE,NEC,1,-1,13
BRIGHT+,NEC,1,-1,14
VOLUME+,NEC,1,-1,15
ANGLE,NEC,1,-1,16
AUDIO,NEC,1,-1,17
BRIGHT-,NEC,1,-1,18
VOLUME-,NEC,1,-1,19
ESC,NEC,1,-1,20
MENU,NEC,1,-1,21
UP,NEC,1,-1,24
LEFT,NEC,1,-1,25
RIGHT,NEC,1,-1,26
DOWN,NEC,1,-1,27
RETOURARR,NEC,1,-1,28
PAUSE,NEC,1,-1,29
STOP,NEC,1,-1,30
AVANCERAP,NEC,1,-1,31
CHAP-,NEC,1,-1,64
CHAP+,NEC,1,-1,65
1,NEC,1,-1,68
2,NEC,1,-1,69
3,NEC,1,-1,70
4,NEC,1,-1,71
5,NEC,1,-1,72
6,NEC,1,-1,73
7,NEC,1,-1,74
8,NEC,1,-1,75
9,NEC,1,-1,76
0,NEC,1,-1,77
ENTER,NEC,1,-1,79
