functionname,protocol,device,subdevice,function
X_KEY_3,NEC,2,-1,0
X_KEY_2,NEC,2,-1,1
X_KEY_1,NEC,2,-1,3
KEY_DVD,NEC,2,-1,6
KEY_STOP,NEC,2,-1,7
KEY_CHANNELDOWN,NEC,2,-1,8
KEY_A,NEC,2,-1,10
KEY_CHANNELUP,NEC,2,-1,11
KEY_ENTER,NEC,2,-1,14
KEY_UP,NEC,2,-1,15
KEY_B,NEC,2,-1,18
LIVE,NEC,2,-1,19
KEY_VOLUMEUP,NEC,2,-1,21
KEY_LEFT,NEC,2,-1,22
KEY_INFO,NEC,2,-1,23
KEY_AUDIO,NEC,2,-1,25
KEY_RECORD,NEC,2,-1,27
KEY_VOLUMEDOWN,NEC,2,-1,28
KEY_RIGHT,NEC,2,-1,30
KEY_MENU,NEC,2,-1,31
KEY_VIDEO,NEC,2,-1,64
KEY_PLAYPAUSE,NEC,2,-1,68
KEY_DOWN,NEC,2,-1,70
KEY_IMAGES,NEC,2,-1,72
KEY_8,NEC,2,-1,76
KEY_0,NEC,2,-1,77
KEY_5,NEC,2,-1,78
KEY_2,NEC,2,-1,79
KEY_FASTFORWARD,NEC,2,-1,80
KEY_NEXT,NEC,2,-1,81
KEY_EXIT,NEC,2,-1,82
KEY_3,NEC,2,-1,83
KEY_7,NEC,2,-1,84
JUMP,NEC,2,-1,85
KEY_4,NEC,2,-1,86
KEY_1,NEC,2,-1,87
KEY_REWIND,NEC,2,-1,88
KEY_PREVIOUS,NEC,2,-1,89
KEY_INFO,NEC,2,-1,90
KEY_POWER,NEC,2,-1,91
KEY_9,NEC,2,-1,92
KEY_SEARCH,NEC,2,-1,93
KEY_6,NEC,2,-1,94
KEY_MUTE,NEC,2,-1,95
