functionname,protocol,device,subdevice,function
KEY_POWER,NEC,0,189,1
KEY_MUTE,NEC,0,189,4
TVVIDEO,NEC,0,189,5
KEY_MENU,NEC,0,189,10
KEY_RIGHT,NEC,0,189,12
KEY_LEFT,NEC,0,189,16
PIP,NEC,0,189,18
KEY_SLEEP,NEC,0,189,19
WIDE,NEC,0,189,20
KEY_1,NEC,0,189,21
KEY_2,NEC,0,189,22
KEY_3,NEC,0,189,23
KEY_UP,NEC,0,189,24
KEY_4,NEC,0,189,25
KEY_5,NEC,0,189,26
KEY_6,NEC,0,189,27
KEY_DOWN,NEC,0,189,28
KEY_7,NEC,0,189,29
KEY_8,NEC,0,189,30
KEY_9,NEC,0,189,31
KEY_INFO,NEC,0,189,64
KEY_0,NEC,0,189,65
PRECH,NEC,0,189,68
KEY_PC,NEC,0,189,69
PLUSMINUS,NEC,0,189,75
