functionname,protocol,device,subdevice,function
CURSOR RIGHT (CD),NEC2,26,-1,0
CURSOR LEFT (CD),NEC2,26,-1,1
RDS,NEC2,26,-1,2
SELECT,NEC2,26,-1,3
STOP,NEC2,26,-1,4
PLAY,NEC2,26,-1,5
PAUSE,NEC2,26,-1,14
1 (CD),NEC2,26,-1,16
2 (CD),NEC2,26,-1,17
3 (CD),NEC2,26,-1,18
4 (CD),NEC2,26,-1,19
5 (CD),NEC2,26,-1,20
6 (CD),NEC2,26,-1,21
7 (CD),NEC2,26,-1,22
8 (CD),NEC2,26,-1,23
9 (CD),NEC2,26,-1,24
+10 (CD),NEC2,26,-1,25
0 (CD),NEC2,26,-1,26
CURSOR UP,NEC2,26,-1,64
CURSOR DOWN,NEC2,26,-1,65
CURSOR LEFT,NEC2,26,-1,66
CURSOR RIGHT,NEC2,26,-1,67
REPEAT (CD),NEC2,26,-1,73
RANDOM,NEC2,26,-1,78
TEST,NEC2,26,-1,80
MODE,NEC2,26,-1,87
MODE (CD),NEC2,26,-1,87
D120,NEC2,26,-1,120
D2,NEC2,26,-1,121
D3,NEC2,26,-1,122
D4,NEC2,26,-1,123
D5,NEC2,26,-1,124
D6,NEC2,26,-1,125
D7,NEC2,26,-1,126
D8,NEC2,26,-1,127
POWER,NEC2,26,-1,128
D9,NEC2,26,-1,129
MUTE,NEC2,26,-1,130
VIDEO1,NEC2,26,-1,131
VIDEO2,NEC2,26,-1,132
VIDEO3,NEC2,26,-1,133
VIDEO4,NEC2,26,-1,134
VIDEO5,NEC2,26,-1,135
CD,NEC2,26,-1,136
FM,NEC2,26,-1,137
TUNER,NEC2,26,-1,137
TAPE,NEC2,26,-1,138
TUNE UP,NEC2,26,-1,140
TUNE DOWN,NEC2,26,-1,141
REPEAT,NEC2,26,-1,142
AM,NEC2,26,-1,143
1,NEC2,26,-1,144
2,NEC2,26,-1,145
3,NEC2,26,-1,146
4,NEC2,26,-1,147
5,NEC2,26,-1,148
6,NEC2,26,-1,149
7,NEC2,26,-1,150
DYNAMIC RANGE,NEC2,26,-1,193
EXTERNAL 5.1,NEC2,26,-1,193
BACKS,NEC2,26,-1,197
SLEEP,NEC2,26,-1,198
BALANCE,NEC2,26,-1,199
DIM,NEC2,26,-1,202
VOLUME DOWN,NEC2,26,-1,209
VOLUME -,NEC2,26,-1,209
PRESET/TUNE,NEC2,26,-1,211
VOLUME UP,NEC2,26,-1,213
VOLUME +,NEC2,26,-1,213
DYNAMIC RANGE,NEC2,26,-1,223
