functionname,protocol,device,subdevice,function
CURSOR OK,NEC2,26,-1,3
CURSOR ENTER,NEC,26,-1,3
MEMORY,NEC2,26,-1,11
CURSOR UP,NEC2,26,-1,64
CURSOR UP,NEC,26,-1,64
CURSOR DOWN,NEC2,26,-1,65
CURSOR DOWN,NEC,26,-1,65
CURSOR LEFT,NEC2,26,-1,66
CURSOR LEFT,NEC,26,-1,66
CURSOR RIGHT,NEC2,26,-1,67
CURSOR RIGHT,NEC,26,-1,67
ROOM 2 POWER,NEC2,26,-1,74
POWER,NEC,26,-1,74
SETUP,NEC,26,-1,75
BYPASS,NEC2,26,-1,77
BASS,NEC2,26,-1,79
TEST,NEC2,26,-1,80
MUTE,NEC,26,-1,81
VOLUME +,NEC,26,-1,85
VOLUME -,NEC,26,-1,86
MODE,NEC2,26,-1,87
POWER,NEC2,26,-1,128
SETUP,NEC2,26,-1,129
MUTE,NEC2,26,-1,130
VIDEO 1,NEC2,26,-1,131
VIDEO 1,NEC,26,-1,131
VIDEO 2,NEC2,26,-1,132
VIDEO 2,NEC,26,-1,132
VIDEO 3,NEC2,26,-1,133
VIDEO 3,NEC,26,-1,133
VIDEO 4,NEC2,26,-1,134
VIDEO 4,NEC,26,-1,134
CD,NEC2,26,-1,136
CD,NEC,26,-1,136
TUNER,NEC2,26,-1,137
TUNER,NEC,26,-1,137
TAPE,NEC2,26,-1,138
+10,NEC1,26,-1,142
FM/AM/HD,NEC2,26,-1,143
1,NEC2,26,-1,144
2,NEC2,26,-1,145
3,NEC2,26,-1,146
4,NEC2,26,-1,147
5,NEC2,26,-1,147
6,NEC2,26,-1,149
7,NEC2,26,-1,150
8,NEC2,26,-1,151
9,NEC2,26,-1,152
10+,NEC2,26,-1,153
EXT. 7.1,NEC2,26,-1,193
SLEEP,NEC2,26,-1,198
CH-TRIM,NEC2,26,-1,199
DIM,NEC2,26,-1,202
ROOM 2,NEC2,26,-1,203
RM 2,NEC,26,-1,203
TREBLE,NEC2,26,-1,207
SEEK,NEC2,26,-1,208
VOLUME -,NEC2,26,-1,209
PRE/TUNE,NEC2,26,-1,211
SYNC,NEC2,26,-1,212
VOLUME +,NEC2,26,-1,213
ST/MONO,NEC2,26,-1,221
TH-EQ,NEC2,26,-1,222
DYNAMIC RANGE,NEC2,26,-1,223
