functionname,protocol,device,subdevice,function
KEY_POWER,Aiwa,112,0,0
KEY_TAPE,Aiwa,112,0,12
KEY_TUNER,Aiwa,112,0,13
KEY_CD,Aiwa,112,0,14
KEY_VOLUMEUP,Aiwa,112,0,17
KEY_VOLUMEDOWN,Aiwa,112,0,18
band,Aiwa,112,0,19
tape_play,Aiwa,112,0,20
tape_stop,Aiwa,112,0,21
tape_next,Aiwa,112,0,22
tape_prev,Aiwa,112,0,23
tape_rec,Aiwa,112,0,24
tape_pause,Aiwa,112,0,25
KEY_MODE,Aiwa,112,0,31
KEY_SLEEP,Aiwa,112,0,64
tunermode,Aiwa,112,0,78
repet,Aiwa,112,0,81
memory,Aiwa,112,0,82
KEY_CANCEL,Aiwa,112,0,83
t-standby,Aiwa,112,0,90
KEY_AUX,Aiwa,112,0,93
display,Aiwa,112,0,128
KEY_1,Aiwa,112,0,145
KEY_2,Aiwa,112,0,146
KEY_3,Aiwa,112,0,147
KEY_4,Aiwa,112,0,148
KEY_5,Aiwa,112,0,149
KEY_6,Aiwa,112,0,150
KEY_7,Aiwa,112,0,151
KEY_8,Aiwa,112,0,152
KEY_9,Aiwa,112,0,153
KEY_0,Aiwa,112,0,154
KEY_10CHANNELSUP,Aiwa,112,0,155
KEY_PLAY,Aiwa,112,0,196
KEY_STOP,Aiwa,112,0,197
KEY_NEXT,Aiwa,112,0,198
KEY_PREVIOUS,Aiwa,112,0,199
dimmer,Aiwa,112,0,205
tray,Aiwa,112,0,207
