functionname,protocol,device,subdevice,function
KEY_POWER,Aiwa,110,0,0
KEY_1,Aiwa,110,0,1
KEY_2,Aiwa,110,0,2
KEY_3,Aiwa,110,0,3
KEY_4,Aiwa,110,0,4
KEY_5,Aiwa,110,0,5
KEY_6,Aiwa,110,0,6
KEY_7,Aiwa,110,0,7
KEY_8,Aiwa,110,0,8
KEY_9,Aiwa,110,0,9
KEY_0,Aiwa,110,0,10
KEY_10CHANNELSUP,Aiwa,110,0,11
Timer,Aiwa,110,0,12
KEY_SLEEP,Aiwa,110,0,14
KEY_TIME,Aiwa,110,0,17
FM-Mode,Aiwa,110,0,18
KEY_OPEN,Aiwa,110,0,19
Random,Aiwa,110,0,21
KEY_AGAIN,Aiwa,110,0,22
Edit_Remain,Aiwa,110,0,23
Prgm,Aiwa,110,0,25
KEY_TAPE,Aiwa,110,0,27
KEY_TUNER,Aiwa,110,0,28
KEY_VIDEO,Aiwa,110,0,29
KEY_CD,Aiwa,110,0,31
KEY_PLAY,Aiwa,110,0,64
KEY_STOP,Aiwa,110,0,65
KEY_NEXT,Aiwa,110,0,66
KEY_BACK,Aiwa,110,0,67
KEY_PAUSE,Aiwa,110,0,68
KEY_RECORD,Aiwa,110,0,69
T-Bass,Aiwa,110,0,71
BBE,Aiwa,110,0,72
GEQ,Aiwa,110,0,73
DSP,Aiwa,110,0,74
KEY_VOLUMEUP,Aiwa,110,0,77
KEY_VOLUMEDOWN,Aiwa,110,0,78
direct_1,Aiwa,110,0,81
direct_2,Aiwa,110,0,82
direct_3,Aiwa,110,0,83
Disc_Skip,Aiwa,110,0,86
