functionname,protocol,device,subdevice,function
1,Aiwa,118,0,1
2,Aiwa,118,0,2
3,Aiwa,118,0,3
4,Aiwa,118,0,4
5,Aiwa,118,0,5
6,Aiwa,118,0,6
7,Aiwa,118,0,7
8,Aiwa,118,0,8
9,Aiwa,118,0,9
0,Aiwa,118,0,10
GREATER_20,Aiwa,118,0,11
OPEN,Aiwa,118,0,12
PROGRAM,Aiwa,118,0,13
DELETE,Aiwa,118,0,14
CHECK,Aiwa,118,0,15
SEARCH_FORW,Aiwa,118,0,17
SEARCH_BACK,Aiwa,118,0,18
RANDOM,Aiwa,118,0,19
PLAY,Aiwa,118,0,21
PAUSE,Aiwa,118,0,23
SKIP_FORW,Aiwa,118,0,24
SKIP_BACK,Aiwa,118,0,25
STOP,Aiwa,118,0,26
REPEAT_1_ALL,Aiwa,118,0,27
REPEAT_A_B,Aiwa,118,0,28
INDEX_FORW,Aiwa,118,0,29
INDEX_BACK,Aiwa,118,0,30
TIME,Aiwa,118,0,31
BLANK,Aiwa,118,0,64
1,Aiwa,118,0,65
2,Aiwa,118,0,66
3,Aiwa,118,0,67
4,Aiwa,118,0,68
5,Aiwa,118,0,69
6,Aiwa,118,0,70
7,Aiwa,118,0,71
8,Aiwa,118,0,72
9,Aiwa,118,0,73
0,Aiwa,118,0,74
AC,Aiwa,118,0,78
