functionname,protocol,device,subdevice,function
KEY_FASTFORWARD,NEC,137,119,1
KEY_REWIND,NEC,137,119,2
KEY_STOP,NEC,137,119,3
KEY_PLAY,NEC,137,119,6
KEY_NEXT,NEC,137,119,7
Previous_Track,NEC,137,119,8
Still_Image,NEC,137,119,9
Reset_Counter,NEC,137,119,10
KEY_CHANNELUP,NEC,137,119,13
KEY_CHANNELDOWN,NEC,137,119,14
KEY_PAUSE,NEC,137,119,15
KEY_EJECTCD,NEC,137,119,16
KEY_POWER,NEC,137,119,19
I-HQ,NEC,137,119,20
KEY_RECORD,NEC,137,119,22
TV/VCR,NEC,137,119,23
Auto_Align,NEC,137,119,24
Increase_Speed,NEC,137,119,26
Reduce_Speed,NEC,137,119,27
Prog_Funct,NEC,137,119,30
KEY_1,NEC,137,119,64
KEY_2,NEC,137,119,65
KEY_3,NEC,137,119,66
KEY_4,NEC,137,119,67
KEY_5,NEC,137,119,68
KEY_6,NEC,137,119,69
KEY_7,NEC,137,119,70
KEY_8,NEC,137,119,71
KEY_9,NEC,137,119,72
KEY_0,NEC,137,119,73
AV,NEC,137,119,74
KEY_MENU,NEC,137,119,79
KEY_OK,NEC,137,119,80
Display,NEC,137,119,81
Timer,NEC,137,119,83
Program_List,NEC,137,119,84
KEY_EPG,NEC,137,119,84
KEY_CANCEL,NEC,137,119,86
KEY_RIGHT,NEC,137,119,88
KEY_LEFT,NEC,137,119,89
KEY_UP,NEC,137,119,92
KEY_DOWN,NEC,137,119,93
Interactive_Program,NEC,137,119,95
