functionname,protocol,device,subdevice,function
KEY_FORWARD,NEC,137,119,1
KEY_REWIND,NEC,137,119,2
KEY_STOP,NEC,137,119,3
KEY_RECORD,NEC,137,119,3
KEY_PLAY,NEC,137,119,6
KEY_0,NEC,137,119,10
KEY_PAUSE,NEC,137,119,15
KEY_POWER,NEC,137,119,19
i-hq,NEC,137,119,20
KEY_CYCLEWINDOWS,NEC,137,119,23
KEY_1,NEC,137,119,64
KEY_2,NEC,137,119,65
KEY_3,NEC,137,119,66
KEY_4,NEC,137,119,67
KEY_5,NEC,137,119,68
KEY_6,NEC,137,119,69
KEY_7,NEC,137,119,70
KEY_8,NEC,137,119,71
KEY_9,NEC,137,119,72
KEY_0,NEC,137,119,73
av,NEC,137,119,74
sp/lp,NEC,137,119,75
showview,NEC,137,119,77
KEY_MENU,NEC,137,119,79
KEY_OK,NEC,137,119,80
timer,NEC,137,119,83
prog.list,NEC,137,119,84
KEY_CANCEL,NEC,137,119,86
KEY_NEXT,NEC,137,119,88
KEY_PREVIOUS,NEC,137,119,89
KEY_CHANNELUP,NEC,137,119,92
KEY_CHANNELDOWN,NEC,137,119,93
