functionname,protocol,device,subdevice,function
PEREMOTKA_VPERED,NEC,137,-1,1
PEREMOTKA_NAZAD,NEC,137,-1,2
STOP,NEC,137,-1,3
PLAY,NEC,137,-1,6
INDEX_UP,NEC,137,-1,7
INDEX_DOWN,NEC,137,-1,8
SLOW,NEC,137,-1,9
COUNTER_RESET,NEC,137,-1,10
CHANNEL+,NEC,137,-1,13
CHANNEL-,NEC,137,-1,14
PAUSE/STILL,NEC,137,-1,15
EJECTCD,NEC,137,-1,16
POWER,NEC,137,-1,19
AUTO/OFF,NEC,137,-1,22
AUTO_TRACKING,NEC,137,-1,24
SPEED_UP,NEC,137,-1,26
SPEED_DOWN,NEC,137,-1,27
INTRO_SCAN,NEC,137,-1,28
NEXT,NEC,137,-1,30
RECORD,NEC,137,-1,31
1,NEC,137,-1,64
2,NEC,137,-1,65
3,NEC,137,-1,66
4,NEC,137,-1,67
5,NEC,137,-1,68
6,NEC,137,-1,69
7,NEC,137,-1,70
8,NEC,137,-1,71
9,NEC,137,-1,72
0,NEC,137,-1,73
EXT,NEC,137,-1,74
PUSTO,NEC,137,-1,75
MEMO,NEC,137,-1,80
DISPLAY,NEC,137,-1,81
CANCEL_BAND,NEC,137,-1,82
TIMER,NEC,137,-1,83
TIME,NEC,137,-1,85
SHIFT_UP,NEC,137,-1,88
SHIFT_DOWN,NEC,137,-1,89
CHANCEL_PRESET,NEC,137,-1,90
AUTO_SCAN,NEC,137,-1,91
PICTURE_UP,NEC,137,-1,92
PICTURE_DOWN,NEC,137,-1,93
PRGM,NEC,137,-1,95
