functionname,protocol,device,subdevice,function
1,NEC,0,-1,0
2,NEC,0,-1,1
3,NEC,0,-1,2
4,NEC,0,-1,3
5,NEC,0,-1,4
6,NEC,0,-1,5
7,NEC,0,-1,6
8,NEC,0,-1,7
9,NEC,0,-1,8
0,NEC,0,-1,9
X_KEY_0+,NEC,0,-1,10
SEARCH,NEC,0,-1,11
POWER,NEC,0,-1,12
EJECTCD,NEC,0,-1,13
ENTER,NEC,0,-1,14
UP,NEC,0,-1,16
DOWN,NEC,0,-1,17
LEFT,NEC,0,-1,18
RIGHT,NEC,0,-1,19
SETUP,NEC,0,-1,20
MENU,NEC,0,-1,21
TITLE,NEC,0,-1,22
SUBTITLE,NEC,0,-1,23
ANGLE,NEC,0,-1,24
PBC,NEC,0,-1,25
ENTER,NEC,0,-1,26
ZOOM,NEC,0,-1,27
P/N,NEC,0,-1,28
PROGRAM,NEC,0,-1,29
MENU,NEC,0,-1,30
P/I,NEC,0,-1,31
REWIND,NEC,0,-1,64
FORWARD,NEC,0,-1,65
BACK,NEC,0,-1,66
NEXT,NEC,0,-1,67
PLAY,NEC,0,-1,68
STOP,NEC,0,-1,69
AUDIO,NEC,0,-1,72
EQ,NEC,0,-1,73
RESUME,NEC,0,-1,74
SLOW,NEC,0,-1,75
L/R,NEC,0,-1,76
A-B,NEC,0,-1,77
STEP,NEC,0,-1,78
VOLUME+,NEC,0,-1,79
MUTE,NEC,0,-1,80
AGAIN,NEC,0,-1,81
SHUFFLE,NEC,0,-1,82
VOLUME-,NEC,0,-1,83
