functionname,protocol,device,subdevice,function
DVD/VCD,NEC1,4,-1,0
ENTER,NEC1,4,-1,1
CURSOR LEFT,NEC1,4,-1,2
VOLUME +,NEC1,4,-1,3
MENU,NEC1,4,-1,4
MUTE,NEC1,4,-1,5
PREVIOUS,NEC1,4,-1,7
TIME/SHIFT,NEC1,4,-1,8
PLAY/PAUSE,NEC,4,-1,9
,NEC1,4,-1,9
REC,NEC1,4,-1,10
1,NEC1,4,-1,11
POWER,NEC1,4,-1,12
PHOTO,NEC1,4,-1,14
VIDEO/CLIPPER,NEC1,4,-1,15
FORWARD,NEC1,4,-1,16
FM,NEC1,4,-1,17
3,NEC1,4,-1,18
CHANNEL +,NEC1,4,-1,19
NEXT,NEC1,4,-1,20
2,NEC1,4,-1,21
6,NEC1,4,-1,22
CHANNEL -,NEC1,4,-1,23
REWIND,NEC1,4,-1,24
5,NEC1,4,-1,25
8,NEC1,4,-1,26
PC,NEC1,4,-1,27
CURSOR DOWN,NEC1,4,-1,28
STOP,NEC1,4,-1,29
DISPLAY,NEC1,4,-1,31
4,NEC1,4,-1,65
TUNING UP,NEC1,4,-1,68
MEM,NEC1,4,-1,69
TUNING DOWN,NEC1,4,-1,72
TV/PVR,NEC1,4,-1,76
VOLUME -,NEC1,4,-1,78
7,NEC1,4,-1,80
SCAN,NEC1,4,-1,81
CD/MP3,NEC1,4,-1,82
EXIT,NEC1,4,-1,84
9,NEC1,4,-1,85
0,NEC1,4,-1,88
CURSOR UP,NEC1,4,-1,89
REPEAT,NEC1,4,-1,90
OPEN/CLOSE,NEC1,4,-1,92
CURSOR RIGHT,NEC1,4,-1,93
