functionname,protocol,device,subdevice,function
KEY_DVD,NEC,4,-1,0
KEY_ENTER,NEC,4,-1,1
KEY_LEFT,NEC,4,-1,2
KEY_VOLUMEUP,NEC,4,-1,3
KEY_MENU,NEC,4,-1,4
KEY_MUTE,NEC,4,-1,5
KEY_PREVIOUS,NEC,4,-1,7
Timeshift,NEC,4,-1,8
KEY_PLAYPAUSE,NEC,4,-1,9
KEY_RECORD,NEC,4,-1,10
KEY_1,NEC,4,-1,11
KEY_IMAGES,NEC,4,-1,14
KEY_VIDEO,NEC,4,-1,15
KEY_FORWARD,NEC,4,-1,16
KEY_RADIO,NEC,4,-1,17
KEY_3,NEC,4,-1,18
KEY_CHANNELUP,NEC,4,-1,19
KEY_NEXT,NEC,4,-1,20
KEY_2,NEC,4,-1,21
KEY_6,NEC,4,-1,22
KEY_CHANNELDOWN,NEC,4,-1,23
KEY_REWIND,NEC,4,-1,24
KEY_5,NEC,4,-1,25
KEY_8,NEC,4,-1,26
KEY_PC,NEC,4,-1,27
KEY_DOWN,NEC,4,-1,28
KEY_STOP,NEC,4,-1,29
KEY_F11,NEC,4,-1,31
KEY_4,NEC,4,-1,65
TuneUp,NEC,4,-1,68
Mem,NEC,4,-1,69
TuneDown,NEC,4,-1,72
KEY_TV,NEC,4,-1,76
KEY_NUMERIC_POUND,NEC,4,-1,77
KEY_VOLUMEDOWN,NEC,4,-1,78
KEY_7,NEC,4,-1,80
Scan,NEC,4,-1,81
KEY_MP3,NEC,4,-1,82
KEY_EXIT,NEC,4,-1,84
KEY_9,NEC,4,-1,85
KEY_NUMERIC_STAR,NEC,4,-1,86
KEY_0,NEC,4,-1,88
KEY_UP,NEC,4,-1,89
KEY_AGAIN,NEC,4,-1,90
KEY_EJECTCD,NEC,4,-1,92
KEY_RIGHT,NEC,4,-1,93
