functionname,protocol,device,subdevice,function
MENU,Apple,238,135,1
PLAY / PAUSE,Apple,238,135,2
PAUSE,Apple,238,135,2
PLAY,Apple,238,135,2
POWER,Apple,238,135,2
SELECT,Apple,238,135,2
STOP,Apple,238,135,2
PLAY/PAUSE EXTENDED,Apple,238,135,2
SELECT (PLAY/PAUSE),Apple,238,135,2
,Apple,238,135,2
SKIP >>,Apple,238,135,3
FF,Apple,238,135,3
RIGHT,Apple,238,135,3
RIGHT (NEXT/FF),Apple,238,135,3
SKIP <<,Apple,238,135,4
LEFT,Apple,238,135,4
REW,Apple,238,135,4
LEFT (PREV/REW),Apple,238,135,4
+,Apple,238,135,5
UP,Apple,238,135,5
UP (+),Apple,238,135,5
-,Apple,238,135,6
DOWN,Apple,238,135,6
DOWN (-),Apple,238,135,6
ENTER,Apple,238,135,46
PLAY/PAUSE,Apple,238,135,47
