functionname,protocol,device,subdevice,function
KEY_0,RC5,14,-1,0
KEY_1,RC5,14,-1,1
KEY_2,RC5,14,-1,2
KEY_3,RC5,14,-1,3
KEY_4,RC5,14,-1,4
KEY_5,RC5,14,-1,5
KEY_6,RC5,14,-1,6
KEY_7,RC5,14,-1,7
KEY_8,RC5,14,-1,8
KEY_9,RC5,14,-1,9
shuffle,RC5,14,-1,28
KEY_AGAIN,RC5,14,-1,29
KEY_FASTFORWARD,RC5,14,-1,30
KEY_REWIND,RC5,14,-1,31
KEY_NEXT,RC5,14,-1,32
KEY_PREVIOUS,RC5,14,-1,33
prog,RC5,14,-1,36
store,RC5,14,-1,41
KEY_EDIT,RC5,14,-1,42
ams,RC5,14,-1,43
rev.play,RC5,14,-1,47
KEY_PAUSE,RC5,14,-1,48
KEY_PLAY,RC5,14,-1,53
KEY_STOP,RC5,14,-1,54
KEY_NEXT,RC5,14,-1,58
rotate_left,RC5,14,-1,65
rotate_right,RC5,14,-1,66
KEY_UP,RC5,14,-1,80
KEY_DOWN,RC5,14,-1,81
KEY_LEFT,RC5,14,-1,85
KEY_RIGHT,RC5,14,-1,86
frame,RC5,14,-1,97
fts/fps,RC5,14,-1,108
autoplay,RC5,14,-1,120
insert,RC5,14,-1,121
full,RC5,14,-1,125
KEY_ZOOM,RC5,14,-1,126
normal,RC5,14,-1,127
