functionname,protocol,device,subdevice,function
TV,RC5,16,-1,0
SELECT_TV,RC5,16,-1,0
AV,RC5,16,-1,2
SELECT_AV,RC5,16,-1,2
DAB/AM,RC5,16,-1,3
SELECT_DAB/AM,RC5,16,-1,3
TAPE,RC5,16,-1,5
SELECT_TAPE,RC5,16,-1,5
GAME,RC5,16,-1,6
SELECT_GAME,RC5,16,-1,6
CD,RC5,16,-1,7
SELECT_CD,RC5,16,-1,7
FRONT_INPUT,RC5,16,-1,8
SELECT_FRONT,RC5,16,-1,8
POWER,RC5,16,-1,12
STANDBY,RC5,16,-1,12
MUTE,RC5,16,-1,13
VOLUME+,RC5,16,-1,16
VOLUME-,RC5,16,-1,17
BASS+,RC5,16,-1,22
BASS-,RC5,16,-1,23
TREBLE+,RC5,16,-1,24
TREBLE-,RC5,16,-1,25
BALANCE+,RC5,16,-1,26
BALANCE-,RC5,16,-1,27
FM,RC5,16,-1,53
SELECT_FM,RC5,16,-1,53
INFO1,RC5,16,-1,55
DISP,RC5,16,-1,59
DISPLAY,RC5,16,-1,59
VOLUMEZONE1+,RC5,16,-1,67
VOLUMEZONE1-,RC5,16,-1,68
MUTEZONE1_TOGGLE,RC5,16,-1,69
MUTEZONE1_ON,RC5,16,-1,70
MUTEZONE1_OFF,RC5,16,-1,71
ZONE2_VOL+,RC5,16,-1,72
VOLUMEZONE2+,RC5,16,-1,72
ZONE2_VOL-,RC5,16,-1,73
VOLUMEZONE2-,RC5,16,-1,73
ZONE2_MUTE_TOGGLE,RC5,16,-1,74
MUTE_ZONE2_TOGGL,RC5,16,-1,74
MUTEZONE2_ON,RC5,16,-1,75
MUTEZONE2_OFF,RC5,16,-1,76
RIGHT,RC5,16,-1,80
VOLUME+,RC5,16,-1,80
NAVIGATE_RIGHT,RC5,16,-1,80
LEFT,RC5,16,-1,81
VOLUME-,RC5,16,-1,81
NAVIGATE_LEFT,RC5,16,-1,81
MENU,RC5,16,-1,82
DOWN,RC5,16,-1,85
NAVIGATE_DOWN,RC5,16,-1,85
UP,RC5,16,-1,86
NAVIGATE_UP,RC5,16,-1,86
ENTER,RC5,16,-1,87
OK/ENTER,RC5,16,-1,87
OK,RC5,16,-1,87
ALARM1_ON/OFF,RC5,16,-1,113
ALARM1,RC5,16,-1,113
ALARM2_ON/OFF,RC5,16,-1,114
ALARM2,RC5,16,-1,114
ALARM3_ON/OFF,RC5,16,-1,115
ALARM3,RC5,16,-1,115
ALARM4_ON/OFF,RC5,16,-1,116
ALARM4,RC5,16,-1,116
SLEEP_ON/REDUCE,RC5,16,-1,118
MUTE_ON,RC5,16,-1,119
MUTE_OFF,RC5,16,-1,120
POWER_ON,RC5,16,-1,123
STANDBY_OFF,RC5,16,-1,123
POWER_OFF,RC5,16,-1,124
STANDBY_ON,RC5,16,-1,124
