functionname,protocol,device,subdevice,function
IN 1 OUT 1,NEC1,0,-1,128
IN 2 OUT 1,NEC1,0,-1,129
IN 3 OUT 1,NEC1,0,-1,130
IN 4 OUT 1,NEC1,0,-1,131
IN 5 OUT 1,NEC1,0,-1,132
IN 6 OUT 1,NEC1,0,-1,133
IN 7 OUT 1,NEC1,0,-1,134
IN 8 OUT 1,NEC1,0,-1,135
IN 1 OUT 2,NEC1,0,-1,144
IN 2 OUT 2,NEC1,0,-1,145
IN 3 OUT 2,NEC1,0,-1,146
IN 4 OUT 2,NEC1,0,-1,147
IN 5 OUT 2,NEC1,0,-1,148
IN 6 OUT 2,NEC1,0,-1,149
IN 7 OUT 2,NEC1,0,-1,150
IN 8 OUT 2,NEC1,0,-1,151
IN 1 OUT 3,NEC1,0,-1,160
IN 2 OUT 3,NEC1,0,-1,161
IN 3 OUT 3,NEC1,0,-1,162
IN 4 OUT 3,NEC1,0,-1,163
IN 5 OUT 3,NEC1,0,-1,164
IN 6 OUT 3,NEC1,0,-1,165
IN 7 OUT 3,NEC1,0,-1,166
IN 8 OUT 3,NEC1,0,-1,167
IN 1 OUT 4,NEC1,0,-1,176
IN 2 OUT 4,NEC1,0,-1,177
IN 3 OUT 4,NEC1,0,-1,178
IN 4 OUT 4,NEC1,0,-1,179
IN 5 OUT 4,NEC1,0,-1,180
IN 6 OUT 4,NEC1,0,-1,181
IN 7 OUT 4,NEC1,0,-1,182
IN 8 OUT 4,NEC1,0,-1,183
IN 1 OUT 5,NEC1,0,-1,192
IN 2 OUT 5,NEC1,0,-1,193
IN 3 OUT 5,NEC1,0,-1,194
IN 4 OUT 5,NEC1,0,-1,195
IN 5 OUT 5,NEC1,0,-1,196
IN 6 OUT 5,NEC1,0,-1,197
IN 7 OUT 5,NEC1,0,-1,198
IN 8 OUT 5,NEC1,0,-1,199
IN 1 OUT 6,NEC1,0,-1,208
IN 2 OUT 6,NEC1,0,-1,209
IN 3 OUT 6,NEC1,0,-1,210
IN 4 OUT 6,NEC1,0,-1,211
IN 5 OUT 6,NEC1,0,-1,212
IN 6 OUT 6,NEC1,0,-1,213
IN 7 OUT 6,NEC1,0,-1,214
IN 8 OUT 6,NEC1,0,-1,215
IN 1 OUT 7,NEC1,0,-1,224
IN 2 OUT 7,NEC1,0,-1,225
IN 3 OUT 7,NEC1,0,-1,226
IN 4 OUT 7,NEC1,0,-1,227
IN 5 OUT 7,NEC1,0,-1,228
IN 6 OUT 7,NEC1,0,-1,229
IN 7 OUT 7,NEC1,0,-1,230
IN 8 OUT 7,NEC1,0,-1,231
IN 1 OUT 8,NEC1,0,-1,240
IN 2 OUT 8,NEC1,0,-1,241
IN 3 OUT 8,NEC1,0,-1,242
IN 4 OUT 8,NEC1,0,-1,243
IN 5 OUT 8,NEC1,0,-1,244
IN 6 OUT 8,NEC1,0,-1,245
IN 7 OUT 8,NEC1,0,-1,246
IN 8 OUT 8,NEC1,0,-1,247
