functionname,protocol,device,subdevice,function
OUTPUT_D:_INPUT2,NEC1,134,107,0
OUTPUT_A:_INPUT1,NEC1,134,107,1
OUTPUT_A:_INPUT2,NEC1,134,107,2
OUTPUT_A:_INPUT3,NEC1,134,107,3
OUTPUT_B:_INPUT1,NEC1,134,107,4
OUTPUT_B:_INPUT2,NEC1,134,107,5
OUTPUT_B:_INPUT3,NEC1,134,107,6
OUTPUT_C:_INPUT1,NEC1,134,107,7
OUTPUT_C:_INPUT2,NEC1,134,107,8
OUTPUT_C:_INPUT3,NEC1,134,107,9
OUTPUT_D:_INPUT1,NEC1,134,107,17
POWER,NEC1,134,107,18
OUTPUT_D:_INPUT3,NEC1,134,107,23
OUTPUT_A:_INPUT4,NEC1,134,107,26
OUTPUT_C:_INPUT4,NEC1,134,107,27
OUTPUT_B:_INPUT4,NEC1,134,107,30
OUTPUT_D:_INPUT4,NEC1,134,107,31
