functionname,protocol,device,subdevice,function
INPUT:SAT,RC5,16,-1,0
INPUT:AV,RC5,16,-1,2
INPUT:TUNER,RC5,16,-1,3
INPUT:DVD,RC5,16,-1,4
INPUT:TAPE,RC5,16,-1,5
INPUT:VCR,RC5,16,-1,6
INPUT:CD,RC5,16,-1,7
INPUT:AUX,RC5,16,-1,8
INPUT:MULTI-CHANNEL,RC5,16,-1,9
DIRECT_(TOGGLE),RC5,16,-1,10
POWER_(TOGGLE),RC5,16,-1,12
MUTE_(TOGGLE),RC5,16,-1,13
VOLUME+,RC5,16,-1,16
VOLUME-,RC5,16,-1,17
MODES_(TOGGLE),RC5,16,-1,28
THX_MODES,RC5,16,-1,32
TRIM_MENU,RC5,16,-1,37
LIP_SYNC,RC5,16,-1,50
SUB_TRIM,RC5,16,-1,51
INFO,RC5,16,-1,55
DISPLAY,RC5,16,-1,59
EFFECTS:_OFF,RC5,16,-1,63
EFFECTS:_MUSIC,RC5,16,-1,64
EFFECTS:_PARTY,RC5,16,-1,65
EFFECTS:_CLUB,RC5,16,-1,66
EFFECTS:_HALL,RC5,16,-1,67
EFFECTS:_SPORT,RC5,16,-1,68
EFFECTS:_CHURCH,RC5,16,-1,69
EFFECTS_(TOGGLE),RC5,16,-1,70
PRESET1,RC5,16,-1,72
PRESET2,RC5,16,-1,73
PRESET3,RC5,16,-1,74
PRESET4,RC5,16,-1,75
PRESET5,RC5,16,-1,76
DIRECT_ON,RC5,16,-1,78
DIRECT_OFF,RC5,16,-1,79
RIGHT,RC5,16,-1,80
LEFT,RC5,16,-1,81
MENU,RC5,16,-1,82
UP,RC5,16,-1,85
DOWN,RC5,16,-1,86
SELECT,RC5,16,-1,87
MONO_MODE,RC5,16,-1,106
STEREO_MODE,RC5,16,-1,107
DOLBY_PL2_MOVIE,RC5,16,-1,108
DOLBY_PL2_MUSIC,RC5,16,-1,109
DOLBY_PROLOGIC,RC5,16,-1,110
DTS_NEO6_CINEMA,RC5,16,-1,111
DTS_NEO6_MUSIC,RC5,16,-1,112
THX_OFF,RC5,16,-1,113
THX_CINEMA,RC5,16,-1,114
THX_ULTRA2_CINEMA,RC5,16,-1,115
THX_MUSIC,RC5,16,-1,116
THX_SURROUND_EX,RC5,16,-1,117
MUTE_ON,RC5,16,-1,119
MUTE_OFF,RC5,16,-1,120
POWER_ON,RC5,16,-1,123
POWER_OFF,RC5,16,-1,124
