functionname,protocol,device,subdevice,function
SELECT_SAT,RC5,16,-1,0
SELECT_AV,RC5,16,-1,2
SELECT_TUNER,RC5,16,-1,3
SELECT_DVD,RC5,16,-1,4
SELECT_TAPE,RC5,16,-1,5
SELECT_VCR,RC5,16,-1,6
SELECT_CD,RC5,16,-1,7
SELECT_AUX,RC5,16,-1,8
SELECT_MULTI-CHANNEL,RC5,16,-1,9
DIRECT_ONOFF_TGL-R,RC5,16,-1,10
SELECT_NET,RC5,16,-1,11
STAND_BY,RC5,16,-1,12
MUTE_ON,RC5,16,-1,13
MUTE_TOGGLE,RC5,16,-1,13
TREBLELECON.MENU-R,RC5,16,-1,14
CYCLE_ASPECT_RAT-R,RC5,16,-1,19
FOLLOW_ZONE1-R,RC5,16,-1,20
STORE_PRE_X_(TUN-R,RC5,16,-1,28
ROOM_EQ_ON/OFF-R,RC5,16,-1,30
CYCLE_DECODE_MD-R,RC5,16,-1,32
SELECT_DVR,RC5,16,-1,34
SPEAKER_TRIM-R,RC5,16,-1,37
BASS_CON._MENU-R,RC5,16,-1,39
FAVORITE_UP-R,RC5,16,-1,41
FAVORITE_DOWN-R,RC5,16,-1,42
HOME-R,RC5,16,-1,43
BASS_INCREMENT-R,RC5,16,-1,44
BASS_DECREMENT-R,RC5,16,-1,45
TREBLELEINCREMENT-R,RC5,16,-1,46
CYCLE_OUTPUT_RES-R,RC5,16,-1,47
RANDOM,RC5,16,-1,48
RANDOM-R,RC5,16,-1,48
REPEAT,RC5,16,-1,49
REPEAT-R,RC5,16,-1,49
LIPSYNC_CONT_MEN-R,RC5,16,-1,50
SUB_CONTROL_MENU-R,RC5,16,-1,51
SELECT_AM,RC5,16,-1,52
SELECT_FM,RC5,16,-1,54
TRACK_FORWARD-R,RC5,16,-1,56
TRACK_BACKWARD-R,RC5,16,-1,57
DISPLAY_BRIGHT-R,RC5,16,-1,59
DOLBY_VOL._ON/OF-R,RC5,16,-1,70
SELECT_SIRIUS,RC5,16,-1,72
DISCRETE_DIR_ON-R,RC5,16,-1,78
DISCRETE_DIR_OFF-R,RC5,16,-1,79
NAVIGATE_RIGHT,RC5,16,-1,80
NAVIGATE_LEFT,RC5,16,-1,81
MENU-R,RC5,16,-1,82
NAVIGATE_DOWN,RC5,16,-1,85
NAVIGATE_UP,RC5,16,-1,86
SELECT,RC5,16,-1,87
ZONE_TOGGLE-R,RC5,16,-1,95
TREBLELEDECREMENT-R,RC5,16,-1,98
LIPSYNC+BY_1MS-R,RC5,16,-1,100
LIPSYNC-BY_1MS-R,RC5,16,-1,101
SUB_DECREMENT-R,RC5,16,-1,104
SUB_INCREMENT-R,RC5,16,-1,105
MUTE_OFF,RC5,16,-1,120
POWER_ON,RC5,16,-1,123
POWER_OFF,RC5,16,-1,124
