functionname,protocol,device,subdevice,function
0,Nokia32,32,224,0
1,Nokia32,32,224,1
2,Nokia32,32,224,2
3,Nokia32,32,224,3
4,Nokia32,32,224,4
5,Nokia32,32,224,5
6,Nokia32,32,224,6
7,Nokia32,32,224,7
8,Nokia32,32,224,8
9,Nokia32,32,224,9
BOX OFFICE,Nokia32,32,224,20
MUSIC,Nokia32,32,224,23
CHANNEL +,Nokia32,32,224,32
CHANNEL -,Nokia32,32,224,33
AUSTAR,Nokia32,32,224,56
ACTIVE,Nokia32,32,224,84
UP,Nokia32,32,224,88
DOWN,Nokia32,32,224,89
LEFT,Nokia32,32,224,90
RIGHT,Nokia32,32,224,91
SELECT,Nokia32,32,224,92
RED,Nokia32,32,224,109
GREEN,Nokia32,32,224,110
BLUE,Nokia32,32,224,112
BACK,Nokia32,32,224,131
TV GUIDE,Nokia32,32,224,204
I-MODE,Nokia32,32,224,245
