functionname,protocol,device,subdevice,function
1,NEC,0,237,1
2,NEC,0,237,2
3,NEC,0,237,3
4,NEC,0,237,4
5,NEC,0,237,5
6,NEC,0,237,6
7,NEC,0,237,7
8,NEC,0,237,8
9,NEC,0,237,9
0,NEC,0,237,10
MTS-STERO,NEC,0,237,11
SLEEP,NEC,0,237,12
CYCLEWINDOWS,NEC,0,237,15
MENU,NEC,0,237,16
AV-PC,NEC,0,237,17
POWER,NEC,0,237,18
PREVIOUS,NEC,0,237,19
TEXT,NEC,0,237,20
PICTURE,NEC,0,237,21
DISPLAY,NEC,0,237,22
MUTE,NEC,0,237,24
VOLUME+,NEC,0,237,26
CHANNEL+,NEC,0,237,27
CH-RTN,NEC,0,237,28
VOLUME-,NEC,0,237,30
CHANNEL-,NEC,0,237,31
PIP-CH,NEC,0,237,65
PIP-POS,NEC,0,237,66
PIP,NEC,0,237,67
BGM-RES,NEC,0,237,68
