functionname,protocol,device,subdevice,function
KEY_1,NEC,0,237,1
KEY_2,NEC,0,237,2
KEY_3,NEC,0,237,3
KEY_4,NEC,0,237,4
KEY_5,NEC,0,237,5
KEY_6,NEC,0,237,6
KEY_7,NEC,0,237,7
KEY_8,NEC,0,237,8
KEY_9,NEC,0,237,9
KEY_0,NEC,0,237,10
MTS/STEREO,NEC,0,237,11
KEY_SLEEP,NEC,0,237,12
PIP_CH,NEC,0,237,14
KEY_CYCLEWINDOWS,NEC,0,237,15
KEY_MENU,NEC,0,237,16
KEY_PC,NEC,0,237,17
KEY_POWER,NEC,0,237,18
KEY_PREVIOUS,NEC,0,237,19
KEY_TEXT,NEC,0,237,20
PICTURE,NEC,0,237,21
PIC_MODE,NEC,0,237,23
KEY_MUTE,NEC,0,237,24
PIP,NEC,0,237,25
KEY_VOLUMEUP,NEC,0,237,26
KEY_CHANNELUP,NEC,0,237,27
CH_RTN,NEC,0,237,28
PIP_POS,NEC,0,237,29
KEY_VOLUMEDOWN,NEC,0,237,30
KEY_CHANNELDOWN,NEC,0,237,31
KEY_RED,NEC,0,237,64
KEY_GREEN,NEC,0,237,65
KEY_YELLOW,NEC,0,237,66
KEY_BLUE,NEC,0,237,67
PC_BGM/RES,NEC,0,237,68
