functionname,protocol,device,subdevice,function
KEY_POWER,NEC,4,-1,1
KEY_CHANNELUP,NEC,4,-1,2
KEY_CHANNELDOWN,NEC,4,-1,3
KEY_VOLUMEUP,NEC,4,-1,4
KEY_VOLUMEDOWN,NEC,4,-1,5
KEY_MUTE,NEC,4,-1,6
CH_RTN,NEC,4,-1,7
KEY_CYCLEWINDOWS,NEC,4,-1,8
KEY_1,NEC,4,-1,9
KEY_2,NEC,4,-1,10
KEY_3,NEC,4,-1,11
KEY_4,NEC,4,-1,12
KEY_5,NEC,4,-1,13
KEY_6,NEC,4,-1,14
KEY_7,NEC,4,-1,15
KEY_8,NEC,4,-1,16
KEY_9,NEC,4,-1,17
KEY_0,NEC,4,-1,18
KEY_AUDIO,NEC,4,-1,19
KEY_TEXT,NEC,4,-1,20
KEY_EPG,NEC,4,-1,21
KEY_PLAYPAUSE,NEC,4,-1,22
KEY_RECORD,NEC,4,-1,23
KEY_STOP,NEC,4,-1,24
TIMESHIFT,NEC,4,-1,25
PIP,NEC,4,-1,26
SNAPSHOT,NEC,4,-1,27
KEY_REWIND,NEC,4,-1,28
KEY_FORWARD,NEC,4,-1,29
KEY_SLEEP,NEC,4,-1,30
WAKE_UP,NEC,4,-1,31
KEY_F11,NEC,4,-1,64
KEY_HOME,NEC,4,-1,65
KEY_BACK,NEC,4,-1,66
KEY_TV,NEC,4,-1,67
KEY_VIDEO,NEC,4,-1,68
KEY_AUDIO,NEC,4,-1,69
PICTURE,NEC,4,-1,70
KEY_UP,NEC,4,-1,71
KEY_DOWN,NEC,4,-1,72
KEY_LEFT,NEC,4,-1,73
KEY_RIGHT,NEC,4,-1,74
KEY_OK,NEC,4,-1,75
KEY_DOT,NEC,4,-1,76
