functionname,protocol,device,subdevice,function
DISPLAY,NEC,2,255,4
1,NEC,2,255,5
2,NEC,2,255,6
3,NEC,2,255,7
ANGLE,NEC,2,255,8
4,NEC,2,255,9
5,NEC,2,255,10
6,NEC,2,255,11
SUBTITLE,NEC,2,255,12
7,NEC,2,255,13
8,NEC,2,255,14
9,NEC,2,255,15
AUDIO,NEC,2,255,16
ZOOM,NEC,2,255,17
0,NEC,2,255,18
UP,NEC,2,255,20
LEFT,NEC,2,255,21
RIGHT,NEC,2,255,22
DOWN,NEC,2,255,23
ENTER,NEC,2,255,26
MENU,NEC,2,255,27
SETUP,NEC,2,255,28
ENTER,NEC,2,255,29
A-B,NEC,2,255,30
AGAIN,NEC,2,255,31
SLOW,NEC,2,255,68
PAUSE,NEC,2,255,72
STOP,NEC,2,255,73
PREVIOUS,NEC,2,255,80
NEXT,NEC,2,255,81
REWIND,NEC,2,255,84
FASTFORWARD,NEC,2,255,85
PLAY,NEC,2,255,88
