functionname,protocol,device,subdevice,function
POWER,NEC,1,4,0
1,NEC,1,4,1
4,NEC,1,4,2
7,NEC,1,4,3
FAVORITES,NEC,1,4,4
PAUSE,NEC,1,4,5
TV/SAT,NEC,1,4,6
UP,NEC,1,4,7
2,NEC,1,4,8
5,NEC,1,4,9
8,NEC,1,4,10
0,NEC,1,4,11
TV/R,NEC,1,4,12
BACK,NEC,1,4,13
MUTE,NEC,1,4,14
3,NEC,1,4,15
6,NEC,1,4,16
9,NEC,1,4,17
ZOOM,NEC,1,4,18
GREEN,NEC,1,4,19
AUDIO,NEC,1,4,20
LEFT,NEC,1,4,21
MENU,NEC,1,4,22
CHANNEL+,NEC,1,4,23
CHANNEL-,NEC,1,4,24
CHEDIT,NEC,1,4,25
VOLUME+,NEC,1,4,27
OK,NEC,1,4,28
DOWN,NEC,1,4,29
MULTICH,NEC,1,4,30
INFO,NEC,1,4,31
EPG,NEC,1,4,64
VOLUME-,NEC,1,4,66
RIGHT,NEC,1,4,67
EXIT,NEC,1,4,68
SAT,NEC,1,4,69
PS,NEC,1,4,71
TTX,NEC,1,4,72
SIG,NEC,1,4,73
REWIND,NEC,1,4,85
FASTFORWARD,NEC,1,4,86
PREVIOUS,NEC,1,4,88
NEXT,NEC,1,4,89
