functionname,protocol,device,subdevice,function
OFF,NEC2,91,74,1
ON,NEC2,91,74,2
MUTE,NEC2,91,74,3
IN 1,NEC2,91,74,5
IN 3,NEC2,91,74,6
IN 8,NEC2,91,74,7
IN 2,NEC2,91,74,9
IN 7,NEC2,91,74,11
IN 4,NEC2,91,74,13
IN 5,NEC2,91,74,15
STA DN,NEC2,91,74,23
STA UP,NEC2,91,74,24
TUNE DN,NEC2,91,74,27
TUNE UP,NEC2,91,74,28
CURSOR LEFT,NEC2,91,74,31
CURSOR RIGHT,NEC2,91,74,32
VOL DN,NEC2,91,74,35
VOL UP,NEC2,91,74,36
+10,NEC2,91,74,41
CURSOR DOWN,NEC2,91,74,45
CURSOR UP,NEC2,91,74,46
MENU,NEC2,91,74,47
ENTER,NEC2,91,74,48
SELECT_ENTER,NEC2,91,74,48
1,NEC2,91,74,49
2,NEC2,91,74,50
3,NEC2,91,74,51
4,NEC2,91,74,53
5,NEC2,91,74,54
6,NEC2,91,74,55
7,NEC2,91,74,57
8,NEC2,91,74,58
9,NEC2,91,74,59
0,NEC2,91,74,62
ZONE,NEC2,91,74,63
SAVE,NEC2,91,74,64
IN 6,NEC2,91,74,74
PSET UP,NEC2,91,74,75
D IN,NEC2,91,74,90
BASS DN,NEC2,91,74,101
SOURCE UP,NEC2,91,74,102
IN 9,NEC2,91,74,110
AM,NEC2,91,74,118
TREB DN,NEC2,91,74,121
EXIT,NEC2,91,74,125
FM,NEC2,91,74,142
POWER,NEC2,91,74,162
SOURCE DN,NEC2,91,74,166
PSET DN,NEC2,91,74,198
LOUD,NEC2,91,74,207
BASS UP,NEC2,91,74,229
M [STM],NEC2,91,74,235
TREB UP,NEC2,91,74,249
VIDEO +,NEC2,91,74,250
