functionname,protocol,device,subdevice,function
OFF,NEC2,243,192,1
,NEC2,243,192,1
016 OFF,NEC2,243,192,1
POWER OFF,NEC2,243,192,1
ON,NEC2,243,192,2
,NEC2,243,192,2
016 ON,NEC2,243,192,2
POWER ON,NEC2,243,192,2
MUTE,NEC2,243,192,3
IN 1,NEC2,243,192,5
,NEC2,243,192,5
016 INPUT 1,NEC2,243,192,5
IN 3,NEC2,243,192,6
016 INPUT 3,NEC2,243,192,6
IN 8,NEC2,243,192,7
IN 2,NEC2,243,192,9
,NEC2,243,192,9
016 INPUT 2,NEC2,243,192,9
IN 7,NEC2,243,192,11
016 INPUT 7,NEC2,243,192,11
IN 4,NEC2,243,192,13
,NEC2,243,192,13
016 INPUT 4,NEC2,243,192,13
IN 5,NEC2,243,192,15
,NEC2,243,192,15
016 INPUT 5,NEC2,243,192,15
STA DN,NEC2,243,192,23
STATION -,NEC2,243,192,23
STA UP,NEC2,243,192,24
STATION +,NEC2,243,192,24
TUNE DN,NEC2,243,192,27
TUNE -,NEC2,243,192,27
TUNE UP,NEC2,243,192,28
TUNE +,NEC2,243,192,28
CURSOR LEFT,NEC2,243,192,31
CURSOR RIGHT,NEC2,243,192,32
,NEC2,243,192,32
VOL DN,NEC2,243,192,35
,NEC2,243,192,35
016 VOLUME -,NEC2,243,192,35
VOLUME -,NEC2,243,192,35
VOL UP,NEC2,243,192,36
,NEC2,243,192,36
016 VOLUME +,NEC2,243,192,36
VOLUME +,NEC2,243,192,36
+10,NEC2,243,192,41
CURSOR DOWN,NEC2,243,192,45
CURSOR UP,NEC2,243,192,46
,NEC2,243,192,46
MENU,NEC2,243,192,47
ENTER,NEC2,243,192,48
,NEC2,243,192,48
SELECT_ENTER,NEC2,243,192,48
1,NEC2,243,192,49
,NEC2,243,192,49
2,NEC2,243,192,50
3,NEC2,243,192,51
,NEC2,243,192,51
4,NEC2,243,192,53
5,NEC2,243,192,54
6,NEC2,243,192,55
7,NEC2,243,192,57
,NEC2,243,192,57
8,NEC2,243,192,58
,NEC2,243,192,58
9,NEC2,243,192,59
,NEC2,243,192,59
90,NEC2,243,192,59
0,NEC2,243,192,62
,NEC2,243,192,62
ZONE,NEC2,243,192,63
SAVE,NEC2,243,192,64
IN 6,NEC2,243,192,74
016 INPUT 6,NEC2,243,192,74
,NEC2,243,192,74
PSET UP,NEC2,243,192,75
D IN,NEC2,243,192,90
,NEC2,243,192,90
D-IN,NEC2,243,192,90
BASS DN,NEC2,243,192,101
SOURCE UP,NEC2,243,192,102
IN 9,NEC2,243,192,110
AM,NEC2,243,192,118
TREB DN,NEC2,243,192,121
,NEC2,243,192,121
EXIT,NEC2,243,192,125
FM,NEC2,243,192,142
POWER,NEC2,243,192,162
SOURCE DN,NEC2,243,192,166
PSET DN,NEC2,243,192,198
LOUD,NEC2,243,192,207
,NEC2,243,192,207
BASS UP,NEC2,243,192,229
,NEC2,243,192,229
M [STM],NEC2,243,192,235
TREB UP,NEC2,243,192,249
,NEC2,243,192,249
VIDEO +,NEC2,243,192,250
