functionname,protocol,device,subdevice,function
BK027 POWER OFF,NEC2,87,138,1
BK027 POWER ON,NEC2,87,138,2
BK027 MUTE,NEC2,87,138,3
BK027 INPUT 1,NEC2,87,138,5
BK027 INPUT 3,NEC2,87,138,6
BK027 INPUT 8,NEC2,87,138,7
BK027 INPUT 2,NEC2,87,138,9
BK027 INPUT 7,NEC2,87,138,11
BK027 INPUT 4,NEC2,87,138,13
BK027 TUNER 1,NEC2,87,138,14
BK027 INPUT 5,NEC2,87,138,15
BK027 STATION-,NEC2,87,138,23
BK027 STATION+,NEC2,87,138,24
BK027 TUNE-,NEC2,87,138,27
BK027 TUNE+,NEC2,87,138,28
BK027 LEFT,NEC2,87,138,31
BK027 RIGHT,NEC2,87,138,32
BK027 VOLUME-,NEC2,87,138,35
BK027 VOLUME+,NEC2,87,138,36
BK027 NUMBER +10,NEC2,87,138,41
BK027 EQ,NEC2,87,138,42
BK027 DOWN,NEC2,87,138,45
BK027 UP,NEC2,87,138,46
BK027 ENTER,NEC2,87,138,48
BK027 NUMBER 1,NEC2,87,138,49
BK027 NUMBER 2,NEC2,87,138,50
BK027 NUMBER 3,NEC2,87,138,51
BK027 NUMBER 4,NEC2,87,138,53
BK027 NUMBER 5,NEC2,87,138,54
BK027 NUMBER 6,NEC2,87,138,55
BK027 NUMBER 7,NEC2,87,138,57
BK027 NUMBER 8,NEC2,87,138,58
BK027 NUMBER 9,NEC2,87,138,59
BK027 NUMBER 0,NEC2,87,138,62
BK027 SAVE,NEC2,87,138,64
BK027 TUNER 3,NEC2,87,138,68
BK027 INPUT 6,NEC2,87,138,74
BK027 PRESET+,NEC2,87,138,75
BK027 D-IN,NEC2,87,138,90
BK027 BASS-,NEC2,87,138,101
BK027 SOURCE+,NEC2,87,138,102
BK027 INPUT 9,NEC2,87,138,110
BK027 AM,NEC2,87,138,118
BK027 TREBLE-,NEC2,87,138,121
BK027 VIDEO-,NEC2,87,138,122
BK027 EXIT,NEC2,87,138,125
BK027 TUNER 2,NEC2,87,138,132
BK027 FM,NEC2,87,138,142
BK027 SOURCE-,NEC2,87,138,166
BK027 SLEEP,NEC2,87,138,179
BK027 PRESET-,NEC2,87,138,198
BK027 LOUDNESS,NEC2,87,138,207
BK027 AUTO LEVEL,NEC2,87,138,228
BK027 BASS+,NEC2,87,138,229
BK027 TREBLE+,NEC2,87,138,249
BK027 VIDEO+,NEC2,87,138,250
