functionname,protocol,device,subdevice,function
STOP,RECS80,7,-1,6
DOUB,RECS80,7,-1,7
MIX,RECS80,7,-1,10
REV,RECS80,7,-1,14
0,RECS80,7,-1,16
1,RECS80,7,-1,17
2,RECS80,7,-1,18
3,RECS80,7,-1,19
4,RECS80,7,-1,20
5,RECS80,7,-1,21
6,RECS80,7,-1,22
7,RECS80,7,-1,23
8,RECS80,7,-1,24
9,RECS80,7,-1,25
PR-,RECS80,7,-1,27
PR+,RECS80,7,-1,28
POWER,RECS80,7,-1,32
PP,RECS80,7,-1,35
VOL+,RECS80,7,-1,36
VOL-,RECS80,7,-1,37
WHITE,RECS80,7,-1,38
SLEEP,RECS80,7,-1,41
NUL_SP,RECS80,7,-1,43
RED,RECS80,7,-1,44
GREEN,RECS80,7,-1,46
BLUE,RECS80,7,-1,47
TV/TX,RECS80,7,-1,49
YELLOW,RECS80,7,-1,51
