functionname,protocol,device,subdevice,function
POWER,Dish_Network,0,0,2
POWER_ON,Dish_Network,0,0,2
1,Dish_Network,0,0,4
2,Dish_Network,0,0,5
3,Dish_Network,0,0,6
4,Dish_Network,0,0,8
5,Dish_Network,0,0,9
6,Dish_Network,0,0,10
MENU,Dish_Network,0,0,11
7,Dish_Network,0,0,12
8,Dish_Network,0,0,13
9,Dish_Network,0,0,14
ENTER,Dish_Network,0,0,16
ENTER,Dish_Network,0,0,16
SEL.,Dish_Network,0,0,16
0,Dish_Network,0,0,17
CANCEL,Dish_Network,0,0,18
CANCL,Dish_Network,0,0,18
EXIT,Dish_Network,0,0,18
GUIDE,Dish_Network,0,0,20
VIEW,Dish_Network,0,0,22
RIGHT,Dish_Network,0,0,24
MENU_RT.,Dish_Network,0,0,24
CHANNEL+,Dish_Network,0,0,26
UP,Dish_Network,0,0,26
CH+,Dish_Network,0,0,26
MENU_UP,Dish_Network,0,0,26
CURS_UP,Dish_Network,0,0,26
RECORDAL,Dish_Network,0,0,27
LEFT,Dish_Network,0,0,28
MENU_LEFT,Dish_Network,0,0,28
CHANNEL-,Dish_Network,0,0,30
DOWN,Dish_Network,0,0,30
CH-,Dish_Network,0,0,30
MENU_DWN.,Dish_Network,0,0,30
RECORDRD,Dish_Network,0,0,31
PAUSE,Dish_Network,0,0,32
STOP,Dish_Network,0,0,33
*,Dish_Network,0,0,37
#,Dish_Network,0,0,38
