functionname,protocol,device,subdevice,function
KEY_SETUP,NEC,32,-1,2
resume,NEC,32,-1,6
KEY_8,NEC,32,-1,8
KEY_9,NEC,32,-1,9
KEY_ZOOM,NEC,32,-1,10
KEY_7,NEC,32,-1,11
KEY_5,NEC,32,-1,12
KEY_6,NEC,32,-1,13
KEY_POWER,NEC,32,-1,14
KEY_4,NEC,32,-1,15
KEY_2,NEC,32,-1,16
KEY_3,NEC,32,-1,17
KEY_SUBTITLE,NEC,32,-1,18
KEY_1,NEC,32,-1,19
ntsc/pal,NEC,32,-1,20
tvpicture,NEC,32,-1,21
KEY_LANGUAGE,NEC,32,-1,22
KEY_VIDEO,NEC,32,-1,23
KEY_FORWARD,NEC,32,-1,24
X_KEY_1/all,NEC,32,-1,25
KEY_EJECTCD,NEC,32,-1,26
bwd,NEC,32,-1,27
KEY_LEFT,NEC,32,-1,28
KEY_DOWN,NEC,32,-1,29
KEY_PAUSE,NEC,32,-1,30
KEY_SLOW,NEC,32,-1,31
KEY_TITLE,NEC,32,-1,64
KEY_MENU,NEC,32,-1,66
KEY_UP,NEC,32,-1,68
vocal-assist,NEC,32,-1,71
KEY_RIGHT,NEC,32,-1,72
KEY_0,NEC,32,-1,73
KEY_VOLUMEDOWN,NEC,32,-1,75
pbc,NEC,32,-1,76
KEY_10CHANNELSUP,NEC,32,-1,77
KEY_VOLUMEUP,NEC,32,-1,79
KEY_SEARCH,NEC,32,-1,80
KEY_MUTE,NEC,32,-1,81
KEY_ANGLE,NEC,32,-1,84
program,NEC,32,-1,85
display,NEC,32,-1,88
a-b,NEC,32,-1,89
KEY_PLAY,NEC,32,-1,92
KEY_STOP,NEC,32,-1,93
