functionname,protocol,device,subdevice,function
KEY_POWER,NEC,96,-1,0
KEY_0,NEC,96,-1,3
KEY_1,NEC,96,-1,4
KEY_2,NEC,96,-1,5
KEY_4,NEC,96,-1,7
KEY_5,NEC,96,-1,8
KEY_6,NEC,96,-1,9
KEY_7,NEC,96,-1,10
KEY_8,NEC,96,-1,11
KEY_9,NEC,96,-1,12
dualdigit,NEC,96,-1,13
zap,NEC,96,-1,15
PIP,NEC,96,-1,16
freeze,NEC,96,-1,17
KEY_TEXT,NEC,96,-1,18
aspectratio,NEC,96,-1,19
KEY_CHANNELDOWN,NEC,96,-1,20
KEY_VOLUMEDOWN,NEC,96,-1,21
KEY_VOLUMEUP,NEC,96,-1,25
KEY_LEFT,NEC,96,-1,28
KEY_DOWN,NEC,96,-1,29
KEY_MUTE,NEC,96,-1,66
KEY_MENU,NEC,96,-1,67
KEY_UP,NEC,96,-1,68
input,NEC,96,-1,69
KEY_RIGHT,NEC,96,-1,72
tt_index,NEC,96,-1,76
tt_subpage,NEC,96,-1,77
tt_info,NEC,96,-1,78
teletext_display,NEC,96,-1,79
KEY_OK,NEC,96,-1,81
KEY_INFO,NEC,96,-1,82
audiomode,NEC,96,-1,83
backlight,NEC,96,-1,84
usersituation,NEC,96,-1,85
sound,NEC,96,-1,86
sleeptimer,NEC,96,-1,88
KEY_CHANNELUP,NEC,96,-1,92
KEY_3,NEC,96,-1,95
