functionname,protocol,device,subdevice,function
OFF,NEC2,27,78,1
ON,NEC2,27,78,2
MUTE,NEC2,27,78,3
IN1,NEC2,27,78,5
IN3,NEC2,27,78,6
IN8,NEC2,27,78,7
IN2,NEC2,27,78,9
IN7,NEC2,27,78,11
IN4,NEC2,27,78,13
IN5,NEC2,27,78,15
STA-,NEC2,27,78,23
STA+,NEC2,27,78,24
TUN-,NEC2,27,78,27
TUN+,NEC2,27,78,28
LEFT,NEC2,27,78,31
RIGHT,NEC2,27,78,32
VOLUME-,NEC2,27,78,35
VOLUME+,NEC2,27,78,36
ALL_OFF,NEC2,27,78,40
+10,NEC2,27,78,41
DOWN,NEC2,27,78,45
UP,NEC2,27,78,46
MENU,NEC2,27,78,47
ENTER,NEC2,27,78,48
SEL/ENTER,NEC2,27,78,48
1,NEC2,27,78,49
2,NEC2,27,78,50
3,NEC2,27,78,51
4,NEC2,27,78,53
5,NEC2,27,78,54
6,NEC2,27,78,55
7,NEC2,27,78,57
8,NEC2,27,78,58
9,NEC2,27,78,59
0,NEC2,27,78,62
ZONE,NEC2,27,78,63
SAVE,NEC2,27,78,64
IN6,NEC2,27,78,74
PRESET+,NEC2,27,78,75
ALL_VOL_-20,NEC2,27,78,88
D-IN,NEC2,27,78,90
BASS-,NEC2,27,78,101
SOURCE+,NEC2,27,78,102
ALL_VOL-,NEC2,27,78,104
IN9,NEC2,27,78,110
AM,NEC2,27,78,118
ALL_VOL_MUTE_TOGGLE,NEC2,27,78,120
TREBLE-,NEC2,27,78,121
EXIT,NEC2,27,78,125
FM,NEC2,27,78,142
ALL_VOL0,NEC2,27,78,152
POWER_TOGGLE,NEC2,27,78,162
SOURCE-,NEC2,27,78,166
ALL_ON,NEC2,27,78,168
ALL_VOL_-60,NEC2,27,78,184
AALL_VOL_-60,NEC2,27,78,184
PRESET-,NEC2,27,78,198
LOUDNESS,NEC2,27,78,207
ALL_VOL_-40,NEC2,27,78,216
BASS+,NEC2,27,78,229
ALL_VOL+,NEC2,27,78,232
M,NEC2,27,78,235
TREBLE+,NEC2,27,78,249
V+,NEC2,27,78,250
