functionname,protocol,device,subdevice,function
POWER OFF,NEC2,108,57,1
POWER ON,NEC2,108,57,2
MUTE,NEC2,108,57,3
,NEC2,108,57,3
INPUT 1,NEC2,108,57,5
INPUT 3,NEC2,108,57,6
,NEC2,108,57,6
INPUT 8,NEC2,108,57,7
INPUT 2,NEC2,108,57,9
,NEC2,108,57,9
INPUT 7,NEC2,108,57,11
INPUT 4,NEC2,108,57,13
INPUT 5,NEC2,108,57,15
STA -,NEC2,108,57,23
STA +,NEC2,108,57,24
TUNE -,NEC2,108,57,27
TUNE +,NEC2,108,57,28
C LEFT,NEC2,108,57,31
C RIGHT,NEC2,108,57,32
VOLUME -,NEC2,108,57,35
VOLUME +,NEC2,108,57,36
+ 10,NEC2,108,57,41
C DOWN,NEC2,108,57,45
C UP,NEC2,108,57,46
MENU,NEC2,108,57,47
,NEC2,108,57,47
C ENTER,NEC2,108,57,48
1,NEC2,108,57,49
2,NEC2,108,57,50
,NEC2,108,57,50
3,NEC2,108,57,51
4,NEC2,108,57,53
,NEC2,108,57,53
5,NEC2,108,57,54
6,NEC2,108,57,55
7,NEC2,108,57,57
,NEC2,108,57,57
8,NEC2,108,57,58
9,NEC2,108,57,59
,NEC2,108,57,59
0,NEC2,108,57,62
ZONE,NEC2,108,57,63
SAVE,NEC2,108,57,64
INPUT 6,NEC2,108,57,74
,NEC2,108,57,74
PRE +,NEC2,108,57,75
D - IN,NEC2,108,57,90
INPUT 9,NEC2,108,57,110
AM,NEC2,108,57,118
,NEC2,108,57,118
EXIT,NEC2,108,57,125
FM,NEC2,108,57,142
PRE -,NEC2,108,57,198
