functionname,protocol,device,subdevice,function
BK024 POWER OFF,NEC2,103,137,1
BK024 POWER ON,NEC2,103,137,2
BK024 MUTE,NEC2,103,137,3
BK024 INPUT 1,NEC2,103,137,5
BK024 INPUT 3,NEC2,103,137,6
BK024 INPUT 8,NEC2,103,137,7
BK024 INPUT 2,NEC2,103,137,9
BK024 INPUT 7,NEC2,103,137,11
BK024 INPUT 4,NEC2,103,137,13
BK024 TUNER 1,NEC2,103,137,14
BK024 INPUT 5,NEC2,103,137,15
BK024 STATION-,NEC2,103,137,23
BK024 STATION+,NEC2,103,137,24
BK024 TUNE-,NEC2,103,137,27
BK024 TUNE+,NEC2,103,137,28
BK024 LEFT,NEC2,103,137,31
BK024 RIGHT,NEC2,103,137,32
BK024 VOLUME-,NEC2,103,137,35
BK024 VOLUME+,NEC2,103,137,36
BK024 NUMBER +10,NEC2,103,137,41
BK024 EQ,NEC2,103,137,42
BK024 DOWN,NEC2,103,137,45
BK024 UP,NEC2,103,137,46
BK024 ENTER,NEC2,103,137,48
BK024 NUMBER 1,NEC2,103,137,49
BK024 NUMBER 2,NEC2,103,137,50
BK024 NUMBER 3,NEC2,103,137,51
BK024 NUMBER 4,NEC2,103,137,53
BK024 NUMBER 5,NEC2,103,137,54
BK024 NUMBER 6,NEC2,103,137,55
BK024 NUMBER 7,NEC2,103,137,57
BK024 NUMBER 8,NEC2,103,137,58
BK024 NUMBER 9,NEC2,103,137,59
BK024 NUMBER 0,NEC2,103,137,62
BK024 SAVE,NEC2,103,137,64
BK024 TUNER 3,NEC2,103,137,68
BK024 INPUT 6,NEC2,103,137,74
BK024 PRESET+,NEC2,103,137,75
BK024 D-IN,NEC2,103,137,90
BK024 BASS-,NEC2,103,137,101
BK024 SOURCE+,NEC2,103,137,102
BK024 INPUT 9,NEC2,103,137,110
BK024 AM,NEC2,103,137,118
BK024 TREBLE-,NEC2,103,137,121
BK024 VIDEO-,NEC2,103,137,122
BK024 EXIT,NEC2,103,137,125
BK024 TUNER 2,NEC2,103,137,132
BK024 FM,NEC2,103,137,142
BK024 SOURCE-,NEC2,103,137,166
BK024 SLEEP,NEC2,103,137,179
BK024 PRESET-,NEC2,103,137,198
BK024 LOUDNESS,NEC2,103,137,207
BK024 AUTO LEVEL,NEC2,103,137,228
BK024 BASS+,NEC2,103,137,229
BK024 TREBLE+,NEC2,103,137,249
BK024 VIDEO+,NEC2,103,137,250
