functionname,protocol,device,subdevice,function
BK005_POWER_OFF,NEC2,203,67,1
BK005_POWER_ON,NEC2,203,67,2
BK005_MUTE,NEC2,203,67,3
BK005_V1,NEC2,203,67,5
BK005_TV,NEC2,203,67,6
BK005_V2,NEC2,203,67,9
BK005_TAPE,NEC2,203,67,11
BK005_DVD,NEC2,203,67,13
BK005_CD,NEC2,203,67,15
BK005_CENTER-,NEC2,203,67,21
BK005_CENTER+,NEC2,203,67,22
BK005_REAR-,NEC2,203,67,25
BK005_REAR+,NEC2,203,67,26
BK005_SUB-,NEC2,203,67,29
BK005_SUB+,NEC2,203,67,30
BK005_LEFT,NEC2,203,67,31
BK005_RIGHT,NEC2,203,67,32
BK005_VOLUME-,NEC2,203,67,35
BK005_VOLUME+,NEC2,203,67,36
BK005_NUMBER_+10,NEC2,203,67,41
BK005_EQ,NEC2,203,67,42
BK005_DVD-AUDIO,NEC2,203,67,43
BK005_DOWN,NEC2,203,67,45
BK005_UP,NEC2,203,67,46
BK005_MENU,NEC2,203,67,47
BK005_ENTER/SELECT,NEC2,203,67,48
BK005_NUMBER1,NEC2,203,67,49
BK005_NUMBER2,NEC2,203,67,50
BK005_NUMBER3,NEC2,203,67,51
BK005_NUMBER4,NEC2,203,67,53
BK005_NUMBER5,NEC2,203,67,54
BK005_NUMBER6,NEC2,203,67,55
BK005_NUMBER7,NEC2,203,67,57
BK005_NUMBER8,NEC2,203,67,58
BK005_NUMBER9,NEC2,203,67,59
BK005_NUMBER0,NEC2,203,67,62
BK005_Z,NEC2,203,67,63
BK005_SAVE,NEC2,203,67,64
BK005_SAT,NEC2,203,67,74
BK005_PRESET+,NEC2,203,67,75
BK005_PANORAMA+,NEC2,203,67,78
BK005_INFO,NEC2,203,67,83
BK005_BASS-,NEC2,203,67,101
BK005_GAME,NEC2,203,67,106
BK005_MOVIE,NEC2,203,67,114
BK005_AM,NEC2,203,67,118
BK005_TREBLE-,NEC2,203,67,121
BK005_EXIT,NEC2,203,67,125
BK005_DIMENSION+,NEC2,203,67,129
BK005_CINEMA,NEC2,203,67,138
BK005_FM,NEC2,203,67,142
BK005_MONO,NEC2,203,67,154
BK005_IMAGE+,NEC2,203,67,158
BK005_NEO:6,NEC2,203,67,170
BK005_MUSIC,NEC2,203,67,178
BK005_SLEEP,NEC2,203,67,179
BK005_PRESET-,NEC2,203,67,198
BK005_SURROUND,NEC2,203,67,202
BK005_PANORAMA-,NEC2,203,67,206
BK005_STEREO,NEC2,203,67,226
BK005_BASS+,NEC2,203,67,229
BK005_PRO_LOGIC_IIX,NEC2,203,67,234
BK005_IMAGE-,NEC2,203,67,238
BK005_TREBLE+,NEC2,203,67,249
BK005_DIMENSION-,NEC2,203,67,254
