functionname,protocol,device,subdevice,function
MUTE TOGGLE,NEC2,186,190,1
VOLUME -,NEC2,186,190,2
VOLUME +,NEC2,186,190,3
AM,NEC2,186,190,5
FM/AM TOGGLE,NEC2,186,190,6
VCR,NEC2,186,190,13
TV,NEC2,186,190,14
AUX,NEC2,186,190,15
CBL/SAT,NEC2,186,190,21
TCPC DOWN,NEC2,186,190,24
TRACK/CH./PRE. DOWN,NEC2,186,190,24
TCPC UP,NEC2,186,190,25
TRACK/CH./PRE. UP,NEC2,186,190,25
STOP,NEC2,186,190,26
ARROW DOWN,NEC2,186,190,32
FM ASSERT,NEC2,186,190,37
AM ASSERT,NEC2,186,190,40
EXIT,NEC2,186,190,48
PAUSE ASSERT,NEC2,186,190,54
0,NEC2,186,190,64
1,NEC2,186,190,65
2,NEC2,186,190,66
3,NEC2,186,190,67
4,NEC2,186,190,68
5,NEC2,186,190,69
6,NEC2,186,190,70
7,NEC2,186,190,71
8,NEC2,186,190,72
9,NEC2,186,190,73
POWER,NEC2,186,190,76
POWER TOGGLE,NEC2,186,190,76
POWER ON/OFF,NEC2,186,190,76
MUTE ALL TOGGLE,NEC2,186,190,77
MUTE TOGGLE,NEC2,186,190,77
CD/DVD,NEC2,186,190,83
PLAY,NEC2,186,190,85
PAUSE TOGGLE,NEC2,186,190,86
SCAN <<,NEC2,186,190,87
SEEK/SCAN <<,NEC2,186,190,87
SCAN >>,NEC2,186,190,88
SEEK/SCAN >>,NEC2,186,190,88
FM,NEC2,186,190,89
SHUFFLE,NEC2,186,190,92
ARROW RIGHT,NEC2,186,190,96
CD #,NEC2,186,190,99
INFO,NEC2,186,190,100
ENCORE,NEC2,186,190,101
SIMILAR (ENCORE),NEC2,186,190,101
UMUSIC,NEC2,186,190,102
WHOLE CD,NEC2,186,190,103
RATING -,NEC2,186,190,104
RATING +,NEC2,186,190,105
SYSTEM,NEC2,186,190,112
SETTINGS,NEC2,186,190,128
POWER ON,NEC2,186,190,140
POWER ON ASSERT,NEC2,186,190,140
DVD MENU,NEC2,186,190,144
REPEAT,NEC2,186,190,157
PLAYLIST,NEC2,186,190,159
ARROW LEFT,NEC2,186,190,160
LIBRARY,NEC2,186,190,176
STORED,NEC2,186,190,179
ARROW UP,NEC2,186,190,192
POWER OFF,NEC2,186,190,204
POWER OFF ASSERT,NEC2,186,190,204
MUTE ALL ASSERT,NEC2,186,190,205
GUIDE,NEC2,186,190,208
ENTER,NEC2,186,190,224
LOCAL SOURCE,NEC2,186,190,244
MUTE ASSERT,NEC2,186,190,254
