functionname,protocol,device,subdevice,function
MUTE,NEC2,186,229,1
VOLUME-,NEC2,186,229,2
VOLUME+,NEC2,186,229,3
AM,NEC2,186,229,12
VIDEO2,NEC2,186,229,13
VIDEO1,NEC2,186,229,14
AUX,NEC2,186,229,15
FM,NEC2,186,229,16
,<<,NEC2,186,229,24
FASTFORWARD,,NEC2,186,229,25
STOP,NEC2,186,229,26
PRESET+,NEC2,186,229,29
PRESET-,NEC2,186,229,31
RANDOM_DISC,NEC2,186,229,74
OFF,NEC2,186,229,76
TAPE,NEC2,186,229,82
CD,NEC2,186,229,83
DISC-,NEC2,186,229,84
PLAY,NEC2,186,229,85
REWIND,NEC2,186,229,87
FASTFORWARD,NEC2,186,229,88
RANDOM_ALL,NEC2,186,229,92
DISC+,NEC2,186,229,93
MUTE_ALL,NEC2,186,229,223
