functionname,protocol,device,subdevice,function
Alarm_Wake_To,Bose,-1,-1,14
Alarm_Time,Bose,-1,-1,14
KEY_2,Bose,-1,-1,16
KEY_3,Bose,-1,-1,16
KEY_PREVIOUS,Bose,-1,-1,24
KEY_NEXT,Bose,-1,-1,24
KEY_PLAYPAUSE,Bose,-1,-1,24
Tune_MP3_Up,Bose,-1,-1,26
Time_Plus,Bose,-1,-1,36
KEY_PLAY,Bose,-1,-1,36
KEY_SLEEP,Bose,-1,-1,42
KEY_MUTE,Bose,-1,-1,42
KEY_6,Bose,-1,-1,48
KEY_POWER,Bose,-1,-1,50
KEY_VOLUMEDOWN,Bose,-1,-1,64
KEY_1,Bose,-1,-1,64
Alarm_On_Off,Bose,-1,-1,68
KEY_4,Bose,-1,-1,80
KEY_5,Bose,-1,-1,80
X_KEY_EJECT_CD,Bose,-1,-1,88
Tune_MP3_Down,Bose,-1,-1,88
FM_AM,Bose,-1,-1,96
KEY_CD,Bose,-1,-1,96
KEY_AUX,Bose,-1,-1,96
KEY_VOLUMEUP,Bose,-1,-1,96
Time_Minus,Bose,-1,-1,121
