functionname,protocol,device,subdevice,function
SMART_CONTROL_PICTURE,RC5,0,-1,2
MIX,RC5,0,-1,4
P100,RC5,0,-1,6
DOUB,RC5,0,-1,7
KEY_SUBTITLE,RC5,0,-1,10
SMART_CONTROL_SOUND,RC5,0,-1,11
HOLD,RC5,0,-1,12
REV,RC5,0,-1,14
UPDATE,RC5,0,-1,15
KEY_0,RC5,0,-1,16
KEY_1,RC5,0,-1,17
KEY_2,RC5,0,-1,18
KEY_3,RC5,0,-1,19
KEY_4,RC5,0,-1,20
KEY_5,RC5,0,-1,21
KEY_6,RC5,0,-1,22
KEY_7,RC5,0,-1,23
KEY_8,RC5,0,-1,24
KEY_9,RC5,0,-1,25
KEY_102ND,RC5,0,-1,26
KEY_CHANNELDOWN,RC5,0,-1,27
KEY_CHANNELUP,RC5,0,-1,28
KEY_POWER,RC5,0,-1,32
PP,RC5,0,-1,33
KEY_9,RC5,0,-1,35
KEY_VOLUMEUP,RC5,0,-1,36
KEY_VOLUMEDOWN,RC5,0,-1,37
KEY_RED,RC5,0,-1,38
SWAP,RC5,0,-1,39
KEY_OK,RC5,0,-1,40
KEY_MENU,RC5,0,-1,41
AV,RC5,0,-1,42
KEY_MUTE,RC5,0,-1,43
KEY_GREEN,RC5,0,-1,44
KEY_YELLOW,RC5,0,-1,46
PURPLE,RC5,0,-1,47
TV/TX,RC5,0,-1,49
KEY_BLUE,RC5,0,-1,51
