functionname,protocol,device,subdevice,function
MENU,NEC,0,-1,0
FORWARD,NEC,0,-1,1
MUTE,NEC,0,-1,2
VOLUME+,NEC,0,-1,3
ZOOM,NEC,0,-1,5
UP,NEC,0,-1,6
PLAY,NEC,0,-1,7
N/P,NEC,0,-1,8
SUBTITLE,NEC,0,-1,9
LANGUAGE,NEC,0,-1,13
VOLUME-,NEC,0,-1,15
OPEN,NEC,0,-1,16
ANGLE,NEC,0,-1,17
STEP,NEC,0,-1,18
PROG,NEC,0,-1,19
SLEEP,NEC,0,-1,20
0,NEC,0,-1,21
X_KEY_0+,NEC,0,-1,23
PREVIOUS,NEC,0,-1,24
7,NEC,0,-1,25
8,NEC,0,-1,27
4,NEC,0,-1,29
5,NEC,0,-1,31
FASTFORWARD,NEC,0,-1,64
9,NEC,0,-1,65
SLOW,NEC,0,-1,66
REV,NEC,0,-1,67
DOWN,NEC,0,-1,68
PAUSE,NEC,0,-1,69
TIME,NEC,0,-1,70
REWIND,NEC,0,-1,71
1,NEC,0,-1,72
2,NEC,0,-1,73
3,NEC,0,-1,74
PBC,NEC,0,-1,75
SETUP,NEC,0,-1,80
DISPLAY,NEC,0,-1,81
RESUME,NEC,0,-1,82
AGAIN,NEC,0,-1,83
TITLE,NEC,0,-1,85
A-B,NEC,0,-1,86
6,NEC,0,-1,87
L/A,NEC,0,-1,89
STOP,NEC,0,-1,94
NEXT,NEC,0,-1,95
