functionname,protocol,device,subdevice,function
CT106,Sony12,7,-1,0
CT107,Sony12,7,-1,1
CT108,Sony12,7,-1,2
CT109,Sony12,7,-1,3
CT110,Sony12,7,-1,4
CT111,Sony12,7,-1,5
CT112,Sony12,7,-1,6
CT113,Sony12,7,-1,7
CT114,Sony12,7,-1,8
CT105,Sony12,7,-1,9
CT115,Sony12,7,-1,11
CT100,Sony12,7,-1,16
CT101,Sony12,7,-1,17
CT099,Sony12,7,-1,21
CT116,Sony12,7,-1,22
CT124,Sony12,7,-1,29
CT097,Sony12,7,-1,38
CT098,Sony12,7,-1,41
CT121,Sony12,7,-1,42
CT125,Sony12,7,-1,48
CT120,Sony12,7,-1,49
CT126,Sony12,7,-1,70
CT102,Sony12,7,-1,77
CT117,Sony12,7,-1,79
CT122,Sony12,7,-1,80
CT123,Sony12,7,-1,88
CT103,Sony12,7,-1,90
CT104,Sony12,7,-1,99
CT118,Sony12,7,-1,100
CT119,Sony12,7,-1,101
CT127,Sony12,7,-1,104
