functionname,protocol,device,subdevice,function
STEREO,RC5,19,-1,65
AUTO_DETECT,RC5,19,-1,67
PLIIX,RC5,19,-1,68
2,RC5,19,-1,69
CES_7.1,RC5,19,-1,70
AUTO_DECODE,RC5,19,-1,72
NEO_96/24,RC5,19,-1,73
POWER,RC5,19,-1,76
MENU,RC5,19,-1,77
ZONE,RC5,19,-1,78
+10,RC5,19,-1,79
VOLUME+,RC5,19,-1,80
VOLUME-,RC5,19,-1,81
AUDIO,RC5,19,-1,84
7.1_A,RC5,19,-1,85
2XF,RC5,19,-1,87
7.1_B,RC5,19,-1,88
LATE,RC5,19,-1,89
1/_DVD,RC5,19,-1,92
4/_CD,RC5,19,-1,93
7/_TV,RC5,19,-1,94
3/_DVCR,RC5,19,-1,95
SUR._MODE,RC5,19,-1,96
INPUT+,RC5,19,-1,97
UP,RC5,19,-1,98
LEFT,RC5,19,-1,99
RIGHT,RC5,19,-1,100
DOWN,RC5,19,-1,101
SELECT,RC5,19,-1,102
6/_TUNER,RC5,19,-1,112
VIDEO,RC5,19,-1,113
TEST,RC5,19,-1,114
5,RC5,19,-1,115
8,RC5,19,-1,116
0,RC5,19,-1,117
9/_DIRECT,RC5,19,-1,120
MUTE,RC5,19,-1,121
INPUT-,RC5,19,-1,124
EXIT,RC5,19,-1,126
