functionname,protocol,device,subdevice,function
KEY_7,RC5,29,-1,0
KEY_C,RC5,29,-1,1
KEY_3,RC5,29,-1,2
KEY_2,RC5,29,-1,3
KEY_0,RC5,29,-1,4
KEY_6,RC5,29,-1,5
KEY_5,RC5,29,-1,6
KEY_0,RC5,29,-1,7
KEY_9,RC5,29,-1,8
KEY_8,RC5,29,-1,9
KEY_4,RC5,29,-1,10
KEY_OPEN,RC5,29,-1,12
KEY_POWER,RC5,29,-1,13
KEY_MENU,RC5,29,-1,14
KEY_LEFT,RC5,29,-1,16
KEY_RIGHT,RC5,29,-1,17
KEY_1,RC5,29,-1,18
searchforward,RC5,29,-1,21
searchback,RC5,29,-1,22
KEY_DOWN,RC5,29,-1,32
KEY_UP,RC5,29,-1,33
KEY_SELECT,RC5,29,-1,34
searchmode,RC5,29,-1,35
KEY_ANGLE,RC5,29,-1,41
KEY_ENTER,RC5,29,-1,42
KEY_AGAIN,RC5,29,-1,43
KEY_REWIND,RC5,29,-1,44
KEY_NEXT,RC5,29,-1,45
KEY_PLAYPAUSE,RC5,29,-1,46
KEY_STOP,RC5,29,-1,47
atob,RC5,29,-1,48
KEY_SUBTITLE,RC5,29,-1,50
program,RC5,29,-1,52
KEY_AUDIO,RC5,29,-1,54
KEY_TIME,RC5,29,-1,55
KEY_ZOOM,RC5,29,-1,56
KEY_TITLE,RC5,29,-1,60
display,RC5,29,-1,63
