functionname,protocol,device,subdevice,function
VOLUME+,NEC,0,-1,0
PROGRAM,NEC,0,-1,1
NEXT,NEC,0,-1,2
STOP,NEC,0,-1,3
ZOOM,NEC,0,-1,5
UP,NEC,0,-1,6
ENTER,NEC,0,-1,7
OPEN,NEC,0,-1,8
1,NEC,0,-1,9
PAUSE,NEC,0,-1,10
4,NEC,0,-1,13
FASTFORWARD,NEC,0,-1,14
MUTE,NEC,0,-1,15
SLEEP,NEC,0,-1,16
7,NEC,0,-1,17
X_KEY_0+,NEC,0,-1,18
8,NEC,0,-1,21
9,NEC,0,-1,23
A-B,NEC,0,-1,24
5,NEC,0,-1,25
PREVIOUS,NEC,0,-1,26
6,NEC,0,-1,27
2,NEC,0,-1,29
PLAY,NEC,0,-1,30
3,NEC,0,-1,31
RIGHT,NEC,0,-1,64
ENTER,NEC,0,-1,65
REWIND,NEC,0,-1,66
SLOW,NEC,0,-1,67
DOWN,NEC,0,-1,68
TITLE,NEC,0,-1,69
L/R,NEC,0,-1,70
LEFT,NEC,0,-1,71
SUBTITLE,NEC,0,-1,72
ANGLE,NEC,0,-1,73
LANGUAGE,NEC,0,-1,74
GOTO,NEC,0,-1,75
SETUP,NEC,0,-1,80
MENU,NEC,0,-1,82
STEP,NEC,0,-1,83
PBC,NEC,0,-1,85
AGAIN,NEC,0,-1,86
VIDEO,NEC,0,-1,87
0,NEC,0,-1,89
MENU,NEC,0,-1,94
VOLUME-,NEC,0,-1,95
