functionname,protocol,device,subdevice,function
STANDBY,RC5,25,-1,12
,RC5,25,-1,12
MUTE,RC5,25,-1,13
,RC5,25,-1,13
DISPLAY,RC5,25,-1,15
,RC5,25,-1,15
VOLUME+,RC5,25,-1,16
,RC5,25,-1,16
VOLUME-,RC5,25,-1,17
,RC5,25,-1,17
AUD1,RC5,25,-1,20
,RC5,25,-1,20
AUD2,RC5,25,-1,21
,RC5,25,-1,21
AUD3,RC5,25,-1,22
,RC5,25,-1,22
MODE,RC5,25,-1,32
,RC5,25,-1,32
MENU,RC5,25,-1,33
,RC5,25,-1,33
MUTE,RC5,25,-1,33
UP,RC5,25,-1,34
,RC5,25,-1,34
LEFT,RC5,25,-1,35
,RC5,25,-1,35
RIGHT,RC5,25,-1,36
,RC5,25,-1,36
DOWN,RC5,25,-1,37
,RC5,25,-1,37
ENTER,RC5,25,-1,38
,RC5,25,-1,38
AV1,RC5,25,-1,48
,RC5,25,-1,48
AV2,RC5,25,-1,49
,RC5,25,-1,49
AV3,RC5,25,-1,50
,RC5,25,-1,50
AV4,RC5,25,-1,51
,RC5,25,-1,51
MODE_<,RC5,25,-1,56
,RC5,25,-1,56
THX,RC5,25,-1,57
,RC5,25,-1,57
AUTO,RC5,25,-1,60
,RC5,25,-1,60
COMPR,RC5,25,-1,61
,RC5,25,-1,61
