functionname,protocol,device,subdevice,function
0 T0,RC5,20,-1,0
0 T1,RC5,20,-1,0
1 T0,RC5,20,-1,1
1 T1,RC5,20,-1,1
2 T0,RC5,20,-1,2
2 T1,RC5,20,-1,2
3 T0,RC5,20,-1,3
3 T1,RC5,20,-1,3
4 T0,RC5,20,-1,4
4 T1,RC5,20,-1,4
5 T0,RC5,20,-1,5
5 T1,RC5,20,-1,5
6 T0,RC5,20,-1,6
6 T1,RC5,20,-1,6
7 T0,RC5,20,-1,7
7 T1,RC5,20,-1,7
8 T0,RC5,20,-1,8
8 T1,RC5,20,-1,8
9 T0,RC5,20,-1,9
9 T1,RC5,20,-1,9
>10 T0,RC5,20,-1,10
>10 T1,RC5,20,-1,10
DISP ON/OFF T0,RC5,20,-1,11
DISP ON/OFF T1,RC5,20,-1,11
SRC T0,RC5,20,-1,18
SRC T1,RC5,20,-1,18
SAMPLE RATE T0,RC5,20,-1,18
SAMPLE RATE T1,RC5,20,-1,18
DISP TIME T0,RC5,20,-1,19
DISP TIME T1,RC5,20,-1,19
INPUT T0,RC5,20,-1,20
INPUT T1,RC5,20,-1,20
LOAD T0,RC5,20,-1,20
LOAD T1,RC5,20,-1,20
CHECK T0,RC5,20,-1,22
CHECK T1,RC5,20,-1,22
CONT T0,RC5,20,-1,27
CONT T1,RC5,20,-1,27
SHUFFLE T0,RC5,20,-1,28
SHUFFLE T1,RC5,20,-1,28
REPEAT T0,RC5,20,-1,29
REPEAT T1,RC5,20,-1,29
NEXT T0,RC5,20,-1,32
NEXT T1,RC5,20,-1,32
PREV T0,RC5,20,-1,33
PREV T1,RC5,20,-1,33
INDEX> T0,RC5,20,-1,34
INDEX> T1,RC5,20,-1,34
<INDEX T0,RC5,20,-1,35
<INDEX T1,RC5,20,-1,35
PROG T0,RC5,20,-1,36
PROG T1,RC5,20,-1,36
SACD/CD T0,RC5,20,-1,43
SACD/CD T1,RC5,20,-1,43
PAUSE T0,RC5,20,-1,48
PAUSE T1,RC5,20,-1,48
'PAUSE T0,RC5,20,-1,48
'PAUSE T1,RC5,20,-1,48
<< T0,RC5,20,-1,50
<< T1,RC5,20,-1,50
>> T0,RC5,20,-1,52
>> T1,RC5,20,-1,52
PLAY T0,RC5,20,-1,53
PLAY T1,RC5,20,-1,53
STOP T0,RC5,20,-1,54
STOP T1,RC5,20,-1,54
STOP T2,RC5,20,-1,54
STOP T3,RC5,20,-1,54
CLEAR T0,RC5,20,-1,58
CLEAR T1,RC5,20,-1,58
A-B T0,RC5,20,-1,59
A-B T1,RC5,20,-1,59
