functionname,protocol,device,subdevice,function
TAPE_MON_TOGGLE_T0,RC6,116,-1,1
TAPE_MON_TOGGLE_T1,RC6,116,-1,1
INPUT:1T0,RC6,116,-1,2
INPUT:1T1,RC6,116,-1,2
INPUT:2T0,RC6,116,-1,3
INPUT:2T1,RC6,116,-1,3
INPUT:3T0,RC6,116,-1,4
INPUT:3T1,RC6,116,-1,4
INPUT:4T0,RC6,116,-1,5
INPUT:4T1,RC6,116,-1,5
INPUT:5T0,RC6,116,-1,6
INPUT:5T1,RC6,116,-1,6
INPUT:6T0,RC6,116,-1,7
INPUT:6T1,RC6,116,-1,7
INPUT:7T0,RC6,116,-1,8
INPUT:7T1,RC6,116,-1,8
INPUT:8T0,RC6,116,-1,9
INPUT:8T1,RC6,116,-1,9
INPUT:UPT0,RC6,116,-1,10
INPUT:UPT1,RC6,116,-1,10
INPUT:DOWNT0,RC6,116,-1,11
INPUT:DOWNT1,RC6,116,-1,11
STANDBY_TOGGLE_T0,RC6,116,-1,12
STANDBY_TOGGLE_T1,RC6,116,-1,12
INFO_T0,RC6,116,-1,14
INFO_T1,RC6,116,-1,14
DISPLAY_T0,RC6,116,-1,15
DISPLAY_T1,RC6,116,-1,15
THX_T0,RC6,116,-1,18
THX_T1,RC6,116,-1,18
LATE_NIGHT_TOGGLE_T0,RC6,116,-1,19
LATE_NIGHT_TOGGLE_T1,RC6,116,-1,19
ZONE_T0,RC6,116,-1,20
ZONE_T1,RC6,116,-1,20
TRIM_T0,RC6,116,-1,21
TRIM_T1,RC6,116,-1,21
MODE_T0,RC6,116,-1,68
MODE_T1,RC6,116,-1,68
MENU_T0,RC6,116,-1,84
MENU_T1,RC6,116,-1,84
HOME_T0,RC6,116,-1,85
HOME_T1,RC6,116,-1,85
NAVIGATE_UP_T0,RC6,116,-1,88
NAVIGATE_UP_T1,RC6,116,-1,88
NAVIGATE_DOWN_T0,RC6,116,-1,89
NAVIGATE_DOWN_T1,RC6,116,-1,89
NAVIGATE_LEFT_T0,RC6,116,-1,90
NAVIGATE_LEFT_T1,RC6,116,-1,90
NAVIGATE_RIGHT_T0,RC6,116,-1,91
NAVIGATE_RIGHT_T1,RC6,116,-1,91
ENTER_T0,RC6,116,-1,92
ENTER_T1,RC6,116,-1,92
INPUT:9T0,RC6,116,-1,120
INPUT:9T1,RC6,116,-1,120
INPUT:10T0,RC6,116,-1,121
INPUT:10T1,RC6,116,-1,121
INPUT:11(7.1)T0,RC6,116,-1,122
INPUT:11(7.1)T1,RC6,116,-1,122
INPUT:12(TAPE)T0,RC6,116,-1,123
INPUT:12(TAPE)T1,RC6,116,-1,123
ZONE_MUTE_T0,RC6,116,-1,145
ZONE_MUTE_T1,RC6,116,-1,145
ZONE_UNMUTE_T0,RC6,116,-1,146
ZONE_UNMUTE_T1,RC6,116,-1,146
ZONE_MUTE_TOGGLE_T0,RC6,116,-1,147
ZONE_MUTE_TOGGLE_T1,RC6,116,-1,147
ZONE_VOL_UP_T0,RC6,116,-1,148
ZONE_VOL_UP_T1,RC6,116,-1,148
ZONE_VOL_DOWN_T0,RC6,116,-1,149
ZONE_VOL_DOWN_T1,RC6,116,-1,149
OPERATE_T0,RC6,116,-1,150
OPERATE_T1,RC6,116,-1,150
STANDBY_T0,RC6,116,-1,151
STANDBY_T1,RC6,116,-1,151
TAPE_MON_ON_T0,RC6,116,-1,154
TAPE_MON_ON_T1,RC6,116,-1,154
TAPE_MON_OFF_T0,RC6,116,-1,155
TAPE_MON_OFF_T1,RC6,116,-1,155
THX_ON_T0,RC6,116,-1,156
THX_ON_T1,RC6,116,-1,156
THX_OFF_T0,RC6,116,-1,157
THX_OFF_T1,RC6,116,-1,157
LATE_NIGHT_ON_T0,RC6,116,-1,160
LATE_NIGHT_ON_T1,RC6,116,-1,160
LATE_NIGHT_OFF_T0,RC6,116,-1,161
LATE_NIGHT_OFF_T1,RC6,116,-1,161
TRIM_FRONT_T0,RC6,116,-1,162
TRIM_FRONT_T1,RC6,116,-1,162
TRIM_CENTER_T0,RC6,116,-1,163
TRIM_CENTER_T1,RC6,116,-1,163
TRIM_SURR_T0,RC6,116,-1,164
TRIM_SURR_T1,RC6,116,-1,164
TRIM_SUB_T0,RC6,116,-1,165
TRIM_SUB_T1,RC6,116,-1,165
ZONE_INPUT1_T0,RC6,116,-1,169
ZONE_INPUT1_T1,RC6,116,-1,169
ZONE_INPUT2_T0,RC6,116,-1,170
ZONE_INPUT2_T1,RC6,116,-1,170
ZONE_INPUT3_T0,RC6,116,-1,171
ZONE_INPUT3_T1,RC6,116,-1,171
ZONE_INPUT4_T0,RC6,116,-1,172
ZONE_INPUT4_T1,RC6,116,-1,172
ZONE_INPUT5_T0,RC6,116,-1,173
ZONE_INPUT5_T1,RC6,116,-1,173
ZONE_INPUT6_T0,RC6,116,-1,174
ZONE_INPUT6_T1,RC6,116,-1,174
ZONE_INPUT7_T0,RC6,116,-1,175
ZONE_INPUT7_T1,RC6,116,-1,175
ZONE_INPUT8_T0,RC6,116,-1,176
ZONE_INPUT8_T1,RC6,116,-1,176
ZONE_INPUT9_T0,RC6,116,-1,177
ZONE_INPUT9_T1,RC6,116,-1,177
ZONE_INPUT10_T0,RC6,116,-1,178
ZONE_INPUT10_T1,RC6,116,-1,178
LISTEN.POS.1_T0,RC6,116,-1,185
LISTEN.POS.1_T1,RC6,116,-1,185
LISTEN.POS.2_T0,RC6,116,-1,186
LISTEN.POS.2_T1,RC6,116,-1,186
LISTEN.POS.3_T0,RC6,116,-1,187
LISTEN.POS.3_T1,RC6,116,-1,187
LISTEN.POS.4_T0,RC6,116,-1,188
LISTEN.POS.4_T1,RC6,116,-1,188
MULTI_T0,RC6,116,-1,193
MULTI_T1,RC6,116,-1,193
MULTI+THX_T0,RC6,116,-1,194
MULTI+THX_T1,RC6,116,-1,194
DOLBY_PRO_LOGIC_T0,RC6,116,-1,195
DOLBY_PRO_LOGIE_T1,RC6,116,-1,195
DOLBY_PL+THX_T0,RC6,116,-1,196
DOLBY_PL+THX_T1,RC6,116,-1,196
MM_NAT_T0,RC6,116,-1,198
MM_NAT_T1,RC6,116,-1,198
MM_PARTY_T0,RC6,116,-1,199
MM_PARTY_T1,RC6,116,-1,199
MONO_T0,RC6,116,-1,204
MONO_T1,RC6,116,-1,204
MONO+THX_T0,RC6,116,-1,205
MONO+THX_T1,RC6,116,-1,205
SURR._6.1_T0,RC6,116,-1,207
SURR._6.1_T1,RC6,116,-1,207
STEREO_T0,RC6,116,-1,208
STEREO_T1,RC6,116,-1,208
STEREO+THX_T0,RC6,116,-1,209
STEREO+THX_T1,RC6,116,-1,209
DOLBY_PLII_MOVIE_T0,RC6,116,-1,210
DOLBY_PLII_MOVIE_T1,RC6,116,-1,210
DPLII_M+THX_T0,RC6,116,-1,211
DPLII_M+THX_T1,RC6,116,-1,211
DPLII_MUZ_T0,RC6,116,-1,212
DPLII_MUZ_T1,RC6,116,-1,212
DOLBY_DIGITAL_EX_T0,RC6,116,-1,228
DOLBY_DIGITAL_EX_T1,RC6,116,-1,228
THX_ULTRA2_MUSIC_T0,RC6,116,-1,229
THX_ULTRA2_MUSIC_T1,RC6,116,-1,229
THX_ULTRA2_CIN_T0,RC6,116,-1,230
THX_ULTRA2_CIN_T1,RC6,116,-1,230
THX_SURR_EX_T0,RC6,116,-1,231
THX_SURR_EX_T1,RC6,116,-1,231
DTS_NEO6_T0,RC6,116,-1,232
DTS_NEO6_T1,RC6,116,-1,232
DTS_NEO6+T_T0,RC6,116,-1,233
DTS_NEO6+T_T1,RC6,116,-1,233
DTS_NEO6_CIN_T0,RC6,116,-1,234
DTS_NEO6_CIN_T1,RC6,116,-1,234
D_NEO6_CIN+T_T0,RC6,116,-1,235
D_NEO6_CIN+T_T1,RC6,116,-1,235
DTS_NEO6_MUZ_T0,RC6,116,-1,236
DTS_NEO6_MUZ_T1,RC6,116,-1,236
DTS_MTX6_T0,RC6,116,-1,237
DTS_MTX6_T1,RC6,116,-1,237
DTS_MTX6+T_T0,RC6,116,-1,238
DTS_MTX6+T_T1,RC6,116,-1,238
STEREO_24/96_T0,RC6,116,-1,239
STEREO_24/96_T1,RC6,116,-1,239
