functionname,protocol,device,subdevice,function
0,NEC1,64,64,0
1,NEC1,64,64,1
2,NEC1,64,64,2
3,NEC1,64,64,3
4,NEC1,64,64,4
5,NEC1,64,64,5
6,NEC1,64,64,6
7,NEC1,64,64,7
8,NEC1,64,64,8
9,NEC1,64,64,9
POWER,NEC1,64,64,10
CURSOR UP,NEC1,64,64,11
MUTE,NEC1,64,64,12
CURSOR ENTER,NEC1,64,64,13
OK,NEC1,64,64,13
CURSOR DOWN,NEC1,64,64,14
CURSOR LEFT,NEC1,64,64,16
CURSOR RIGHT,NEC1,64,64,17
FUNC,NEC1,64,64,19
FAV,NEC1,64,64,20
VOLUME +,NEC1,64,64,21
RED,NEC1,64,64,22
GREEN,NEC1,64,64,23
YELLOW,NEC1,64,64,24
BLUE,NEC1,64,64,25
EPG,NEC1,64,64,26
A/V,NEC1,64,64,27
VOLUME -,NEC1,64,64,28
CHANNEL -,NEC1,64,64,30
CHANNEL +,NEC1,64,64,31
STOP,NEC1,64,64,48
PAUSE,NEC1,64,64,49
PLAY,NEC1,64,64,50
RECORD,NEC1,64,64,51
REW,NEC1,64,64,53
FF,NEC1,64,64,54
MARK,NEC1,64,64,57
JUMP,NEC1,64,64,58
*,NEC1,64,64,59
MENU,NEC1,64,64,64
EXIT,NEC1,64,64,65
INFO,NEC1,64,64,66
A-Z,NEC1,64,64,68
OPT,NEC1,64,64,71
PAGE DWN,NEC1,64,64,75
PAGE UO,NEC1,64,64,78
