functionname,protocol,device,subdevice,function
SKIP >>,NEC1,128,114,0
SKIP <<,NEC1,128,114,4
PAUSE,NEC1,128,114,5
SEARCH <<,NEC1,128,114,6
SEARCH >>,NEC1,128,114,7
PLAY,NEC1,128,114,8
STOP,NEC1,128,114,9
TIME,NEC1,128,114,10
SPACE,NEC1,128,114,11
REPEAT,NEC1,128,114,12
OPEN/CLOSE,NEC1,128,114,13
A-B,NEC1,128,114,14
5,NEC1,128,114,15
4,NEC1,128,114,16
3,NEC1,128,114,17
1,NEC1,128,114,18
2,NEC1,128,114,19
8,NEC1,128,114,20
9,NEC1,128,114,21
0,NEC1,128,114,22
7,NEC1,128,114,23
6,NEC1,128,114,24
CLEAR,NEC1,128,114,25
PROGRAM,NEC1,128,114,26
SHUFFLE,NEC1,128,114,27
+10,NEC1,128,114,28
CHECK,NEC1,128,114,29
INDEX >>,NEC1,128,114,30
INDEX <<,NEC1,128,114,31
INTRO SCAN,NEC1,128,114,64
DISPLAY,NEC1,128,114,93
