functionname,protocol,device,subdevice,function
s0,NEC,193,68,0
KEY_0,NEC,193,68,1
s3,NEC,193,68,8
KEY_3,NEC,193,68,9
sMenu,NEC,193,68,16
KEY_PLAY,NEC,193,68,17
KEY_6,NEC,193,68,30
s6,NEC,193,68,31
s5,NEC,193,68,32
KEY_5,NEC,193,68,33
sEax,NEC,193,68,48
eax,NEC,193,68,49
KEY_CLOSE,NEC,193,68,62
sClose,NEC,193,68,63
sOptions,NEC,193,68,64
KEY_OPTION,NEC,193,68,65
KEY_VOLUMEUP,NEC,193,68,70
sVol+,NEC,193,68,71
s4,NEC,193,68,80
KEY_4,NEC,193,68,81
KEY_NEXT,NEC,193,68,94
sNext,NEC,193,68,95
display,NEC,193,68,110
sDisplay,NEC,193,68,111
sReturn,NEC,193,68,112
KEY_ENTER,NEC,193,68,113
KEY_MUTE,NEC,193,68,118
sMute,NEC,193,68,119
step,NEC,193,68,126
sStep,NEC,193,68,127
sOk,NEC,193,68,128
KEY_OK,NEC,193,68,129
s7,NEC,193,68,144
KEY_7,NEC,193,68,145
KEY_PLAY,NEC,193,68,158
KEY_PAUSE,NEC,193,68,159
KEY_EJECTCD,NEC,193,68,160
KEY_STOP,NEC,193,68,161
KEY_RIGHT,NEC,193,68,174
sRight,NEC,193,68,175
sDown,NEC,193,68,176
KEY_DOWN,NEC,193,68,177
KEY_SLOW,NEC,193,68,190
sSlow,NEC,193,68,191
s8,NEC,193,68,192
KEY_8,NEC,193,68,193
KEY_VOLUMEDOWN,NEC,193,68,198
sVol-,NEC,193,68,199
s1,NEC,193,68,208
KEY_1,NEC,193,68,209
KEY_UP,NEC,193,68,222
sUp,NEC,193,68,223
sLeft,NEC,193,68,224
KEY_LEFT,NEC,193,68,225
KEY_9,NEC,193,68,238
s9,NEC,193,68,239
s2,NEC,193,68,240
KEY_2,NEC,193,68,241
KEY_PREVIOUS,NEC,193,68,254
sPrev,NEC,193,68,255
