functionname,protocol,device,subdevice,function
RED,NEC,114,205,3
GREEN,NEC,114,205,4
YELLOW,NEC,114,205,5
8,NEC,114,205,8
9,NEC,114,205,9
BACK,NEC,114,205,10
7,NEC,114,205,11
5,NEC,114,205,12
6,NEC,114,205,13
POWER,NEC,114,205,14
4,NEC,114,205,15
2,NEC,114,205,16
3,NEC,114,205,17
MUTE,NEC,114,205,18
1,NEC,114,205,19
MENU,NEC,114,205,23
LEFT,NEC,114,205,28
DOWN,NEC,114,205,29
VOLUME-,NEC,114,205,31
UP,NEC,114,205,68
BLUE,NEC,114,205,69
RIGHT,NEC,114,205,72
0,NEC,114,205,73
OK,NEC,114,205,92
VOLUME+,NEC,114,205,93
