functionname,protocol,device,subdevice,function
LEFT,Gap-671-1690-32?,8,230,160
VOLUME-,Gap-671-1690-32?,8,230,161
V,Gap-671-1690-32?,8,230,162
SETUP,Gap-671-1690-32?,8,230,163
LAST,Gap-671-1690-32?,8,230,164
PAGE+,Gap-671-1690-32?,8,230,165
BLUE,Gap-671-1690-32?,8,230,166
MUTE,Gap-671-1690-32?,8,230,167
ENTER,Gap-671-1690-32?,8,230,168
UP,Gap-671-1690-32?,8,230,169
VIDEO,Gap-671-1690-32?,8,230,170
GREEN,Gap-671-1690-32?,8,230,170
DOWN,Gap-671-1690-32?,8,230,171
RIGHT,Gap-671-1690-32?,8,230,172
PAGE-,Gap-671-1690-32?,8,230,173
YELLOW,Gap-671-1690-32?,8,230,174
MENU,Gap-671-1690-32?,8,230,175
STOP,Gap-671-1690-32?,8,230,224
REDO,Gap-671-1690-32?,8,230,225
REWIND,Gap-671-1690-32?,8,230,227
PLAYPAUSE,Gap-671-1690-32?,8,230,228
SHUFFLE,Gap-671-1690-32?,8,230,229
FORWARD,Gap-671-1690-32?,8,230,231
SEARCH,Gap-671-1690-32?,8,230,232
AUDIO,Gap-671-1690-32?,8,230,233
PREVIOUS,Gap-671-1690-32?,8,230,235
D,Gap-671-1690-32?,8,230,236
VIDEO,Gap-671-1690-32?,8,230,237
NEXT,Gap-671-1690-32?,8,230,239
0,Gap-671-1690-32?,8,230,240
CLEAR,Gap-671-1690-32?,8,230,241
DOT,Gap-671-1690-32?,8,230,243
8,Gap-671-1690-32?,8,230,244
9,Gap-671-1690-32?,8,230,245
VOLUME+,Gap-671-1690-32?,8,230,246
7,Gap-671-1690-32?,8,230,247
5,Gap-671-1690-32?,8,230,248
6,Gap-671-1690-32?,8,230,249
HOME,Gap-671-1690-32?,8,230,250
4,Gap-671-1690-32?,8,230,251
2,Gap-671-1690-32?,8,230,252
3,Gap-671-1690-32?,8,230,253
POWER,Gap-671-1690-32?,8,230,254
1,Gap-671-1690-32?,8,230,255
