functionname,protocol,device,subdevice,function
NUM0,Proton,21,-1,144
NUM1,Proton,21,-1,145
NUM2,Proton,21,-1,146
NUM3,Proton,21,-1,147
NUM4,Proton,21,-1,148
NUM5,Proton,21,-1,149
NUM6,Proton,21,-1,150
NUM7,Proton,21,-1,151
NUM8,Proton,21,-1,152
NUM9,Proton,21,-1,153
SYSTEM,Proton,21,-1,154
KEY_SETUP,Proton,21,-1,155
KEY_PAUSE,Proton,21,-1,156
KEY_STOP,Proton,21,-1,157
KEY_PLAY,Proton,21,-1,158
KEY_FASTFORWARD,Proton,21,-1,159
KEY_REWIND,Proton,21,-1,160
KEY_MENU,Proton,21,-1,161
KEY_ENTER,Proton,21,-1,162
KEY_NEXT,Proton,21,-1,163
KEY_PREVIOUS,Proton,21,-1,164
KEY_POWER,Proton,21,-1,165
SREW,Proton,21,-1,166
KEY_UP,Proton,21,-1,167
KEY_DOWN,Proton,21,-1,168
KEY_RIGHT,Proton,21,-1,169
KEY_LEFT,Proton,21,-1,170
KEY_ANGLE,Proton,21,-1,171
KEY_CLEAR,Proton,21,-1,172
KEY_AUDIO,Proton,21,-1,173
KEY_OPEN,Proton,21,-1,174
DISPLAY,Proton,21,-1,175
KEY_TITLE,Proton,21,-1,176
KEY_ZOOM,Proton,21,-1,177
AB,Proton,21,-1,179
KEY_3D,Proton,21,-1,180
KEY_SUBTITLE,Proton,21,-1,181
KEY_AGAIN,Proton,21,-1,184
SCART,Proton,21,-1,186
PROG,Proton,21,-1,187
SFFWD,Proton,21,-1,188
KEY_SEARCH,Proton,21,-1,190
KEY_MUTE,Proton,21,-1,191
