functionname,protocol,device,subdevice,function
INFO,NEC,17,-1,0
1,NEC,17,-1,1
2,NEC,17,-1,2
3,NEC,17,-1,3
4,NEC,17,-1,4
5,NEC,17,-1,5
6,NEC,17,-1,6
7,NEC,17,-1,7
8,NEC,17,-1,8
9,NEC,17,-1,9
POWER,NEC,17,-1,16
MUTE,NEC,17,-1,17
0,NEC,17,-1,18
INFO,NEC,17,-1,19
RED,NEC,17,-1,20
YELLOW,NEC,17,-1,21
UP,NEC,17,-1,22
LEFT,NEC,17,-1,23
SELECT,NEC,17,-1,24
RIGHT,NEC,17,-1,25
DOWN,NEC,17,-1,26
GREEN,NEC,17,-1,27
BLUE,NEC,17,-1,28
CANCEL,NEC,17,-1,29
SWAP,NEC,17,-1,30
TEXT,NEC,17,-1,31
WIDE,NEC,17,-1,32
SUBTITLE,NEC,17,-1,33
AUDIO,NEC,17,-1,34
STATUS,NEC,17,-1,36
