functionname,protocol,device,subdevice,function
0,Proton,21,-1,0
1,Proton,21,-1,1
2,Proton,21,-1,2
3,Proton,21,-1,3
4,Proton,21,-1,4
5,Proton,21,-1,5
6,Proton,21,-1,6
7,Proton,21,-1,7
8,Proton,21,-1,8
9,Proton,21,-1,9
STOP,Proton,21,-1,13
PLAY,Proton,21,-1,14
FAST_FORWARD,Proton,21,-1,15
REWIND,Proton,21,-1,16
PAUSE,Proton,21,-1,17
RECORDOTR,Proton,21,-1,18
ATR,Proton,21,-1,19
VCR_POWER,Proton,21,-1,21
TV/VCR,Proton,21,-1,22
CHANNELTRACK+,Proton,21,-1,23
CHANNELTRACK-,Proton,21,-1,24
100,Proton,21,-1,26
SPEED,Proton,21,-1,27
DISPLAY,Proton,21,-1,29
CM_SKIP,Proton,21,-1,30
CHILD_LOCK,Proton,21,-1,31
EJECT,Proton,21,-1,33
MENU,Proton,21,-1,34
CLEAR,Proton,21,-1,41
SLOW-,Proton,21,-1,49
INDEX+,Proton,21,-1,51
SLOW+,Proton,21,-1,53
INPUT:,Proton,21,-1,54
PROGRAM,Proton,21,-1,57
INDEX-,Proton,21,-1,63
