functionname,protocol,device,subdevice,function
STOP,NEC1,0,-1,4
PAUSE,NEC1,0,-1,5
FRAME_<,NEC1,0,-1,8
SLOW,NEC1,0,-1,9
4,NEC1,0,-1,10
AUDIO,NEC1,0,-1,11
EQ,NEC1,0,-1,12
CLEAR,NEC1,0,-1,13
ZOOM,NEC1,0,-1,16
TITLE,NEC1,0,-1,17
1,NEC1,0,-1,18
L/R,NEC1,0,-1,19
DOWN,NEC1,0,-1,20
MENU,NEC1,0,-1,21
7,NEC1,0,-1,22
SUB_TITLE,NEC1,0,-1,23
ENTER,NEC1,0,-1,24
LEFT,NEC1,0,-1,25
REPEAT,NEC1,0,-1,26
ANGLE,NEC1,0,-1,27
UP,NEC1,0,-1,28
SETUP,NEC1,0,-1,29
0,NEC1,0,-1,30
SUB_TITLE_ON/OFF,NEC1,0,-1,31
PLAY,NEC1,0,-1,71
5,NEC1,0,-1,72
6,NEC1,0,-1,73
SEARCH_BACK,NEC1,0,-1,74
SEARCH_FORWARD,NEC1,0,-1,75
SKIP_PREVIOUS,NEC1,0,-1,78
SKIP_NEXT,NEC1,0,-1,79
2,NEC1,0,-1,80
3,NEC1,0,-1,81
RETURN,NEC1,0,-1,83
8,NEC1,0,-1,84
9,NEC1,0,-1,85
SELECT,NEC1,0,-1,87
A-B,NEC1,0,-1,88
POWER,NEC1,0,-1,89
RIGHT,NEC1,0,-1,91
PROGRAM,NEC1,0,-1,92
GO_TO,NEC1,0,-1,93
DISPLAY,NEC1,0,-1,95
