functionname,protocol,device,subdevice,function
KEY_POWER,NEC,0,-1,1
program,NEC,0,-1,4
KEY_MENU,NEC,0,-1,5
KEY_MENU,NEC,0,-1,6
KEY_UP,NEC,0,-1,7
KEY_0+,NEC,0,-1,8
KEY_MUTE,NEC,0,-1,9
KEY_RIGHT,NEC,0,-1,10
KEY_DOWN,NEC,0,-1,11
KEY_0,NEC,0,-1,12
KEY_EJECTCD,NEC,0,-1,13
KEY_LEFT,NEC,0,-1,14
KEY_SETUP,NEC,0,-1,15
l/r,NEC,0,-1,16
KEY_SELECT,NEC,0,-1,19
KEY_ENTER,NEC,0,-1,24
KEY_AGAIN,NEC,0,-1,28
KEY_STOP,NEC,0,-1,31
KEY_SEARCH,NEC,0,-1,67
KEY_9,NEC,0,-1,68
KEY_6,NEC,0,-1,69
KEY_3,NEC,0,-1,70
KEY_ANGLE,NEC,0,-1,71
KEY_8,NEC,0,-1,72
KEY_5,NEC,0,-1,73
KEY_2,NEC,0,-1,74
KEY_AUDIO,NEC,0,-1,75
KEY_7,NEC,0,-1,76
KEY_4,NEC,0,-1,77
KEY_1,NEC,0,-1,78
KEY_SUBTITLE,NEC,0,-1,79
KEY_ZOOM,NEC,0,-1,80
KEY_PAUSE,NEC,0,-1,81
KEY_VOLUMEUP,NEC,0,-1,82
KEY_VOLUMEDOWN,NEC,0,-1,83
KEY_FASTFORWARD,NEC,0,-1,84
KEY_NEXT,NEC,0,-1,86
digest,NEC,0,-1,87
KEY_REWIND,NEC,0,-1,88
KEY_PLAY,NEC,0,-1,89
KEY_PREVIOUS,NEC,0,-1,90
KEY_3d,NEC,0,-1,91
step,NEC,0,-1,92
KEY_SLOW,NEC,0,-1,93
resume,NEC,0,-1,94
A-B,NEC,0,-1,95
