functionname,protocol,device,subdevice,function
DECK_A/B,Denon,4,-1,83
DECK1_A/B,Denon,4,-1,83
DECK_SELECT_A/B,Denon,4,-1,83
DECK_REV_PLAY_<,Denon,4,-1,87
DECK1_REV_PLAY_<,Denon,4,-1,87
DECK_PLAY_REV_<,Denon,4,-1,87
DECK_PLAY(REV)_<,Denon,4,-1,87
DECK_PLAY_REV._<,Denon,4,-1,87
DECK_FF,Denon,4,-1,90
DECK1_FF,Denon,4,-1,90
DECK_REW_<<,Denon,4,-1,91
DECK1_REW_<<,Denon,4,-1,91
DECK_PLAY,Denon,4,-1,92
DECK1_PLAY,Denon,4,-1,92
DECK_PAUSE,,,Denon,4,-1,93
DECK1_PAUSE,,,Denon,4,-1,93
DECK_STOP,Denon,4,-1,94
DECK1_STOP,Denon,4,-1,94
DECK_REC,Denon,4,-1,95
DECK1_REC,Denon,4,-1,95
DECK_POWER,Denon,4,-1,117
DAT_SRCH,,Denon,4,-1,216
DAT1_SRCH,,Denon,4,-1,216
DAT_SRCH,<<,Denon,4,-1,217
DAT1_SRCH,<<,Denon,4,-1,217
DAT_FF,Denon,4,-1,218
DAT1_FF,Denon,4,-1,218
DAT_REW_<<,Denon,4,-1,219
DAT1_REW_<<,Denon,4,-1,219
DAT_PLAY,Denon,4,-1,220
DAT1_PLAY,Denon,4,-1,220
DAT_PAUSE,,,Denon,4,-1,221
DAT1_PAUSE,,,Denon,4,-1,221
DAT_STOP,Denon,4,-1,222
DAT1_STOP,Denon,4,-1,222
DAT_REC,Denon,4,-1,223
DAT1_REC,Denon,4,-1,223
