functionname,protocol,device,subdevice,function
POWER_OFF,Denon,6,-1,192
OFF,Denon,6,-1,192
DVD_OFF,Denon,6,-1,192
SUPER_AUDIO_CD_SETUP,Denon,6,-1,205
CD/STEREO/MULTI,Denon,6,-1,205
SUPER_AUDIO_CD_SET,Denon,6,-1,205
HDMI/DVI_FORMAT,Denon,6,-1,208
HDMI_FORMAT,Denon,6,-1,208
PURE_DIRECT_SELECT,Denon,6,-1,212
HDMI/DVI_SELECT,Denon,6,-1,213
HDMI/_DVI_SELECT,Denon,6,-1,213
HDMI_SELECT,Denon,6,-1,213
DISC_EXCHANGE,Denon,6,-1,250
PAGE-,Denon,6,-1,253
PAGE-,Denon,6,-1,253
PAGE--,Denon,6,-1,253
PAGE+,Denon,6,-1,254
PAGE+,Denon,6,-1,254
GROUP,Denon,6,-1,255
