functionname,protocol,device,subdevice,function
TUNER ZONE 3,Denon,2,-1,72
PHONO ZONE 3,Denon,2,-1,73
CD ZONE 3,Denon,2,-1,74
DVD ZONE 3,Denon,2,-1,78
VDP ZONE 3,Denon,2,-1,79
TV ZONE 3,Denon,2,-1,82
DBS ZONE 3,Denon,2,-1,83
VCR 1 ZONE 3,Denon,2,-1,84
VCR2 ZONE 3,Denon,2,-1,85
V AUX ZONE 3,Denon,2,-1,87
TAPE ZONE 3,Denon,2,-1,91
ZONE 3 VOL -,Denon,2,-1,101
ZONE 3 VOL +,Denon,2,-1,102
SURR PUREDIRECT,Denon,2,-1,106
SUR PUREDIRECT MAIN,Denon,2,-1,106
ZONE 2,Denon,2,-1,121
POWER ON ZN 2,Denon,2,-1,123
POWER ON ZONE 2,Denon,2,-1,123
POWER OFF ZN 2,Denon,2,-1,124
POWER OFF ZONE 2,Denon,2,-1,124
POWER ON ZONE 3,Denon,2,-1,125
POWER OFF ZONE 3,Denon,2,-1,126
PHONO,Denon,2,-1,195
PHONO MAIN,Denon,2,-1,195
CD,Denon,2,-1,196
IPOD,Denon,2,-1,196
CD MAIN,Denon,2,-1,196
TUNER,Denon,2,-1,197
TUNER MAIN,Denon,2,-1,197
DBS,Denon,2,-1,200
DBS MAIN,Denon,2,-1,200
CABLE TV,Denon,2,-1,201
TV,Denon,2,-1,201
TV MAIN,Denon,2,-1,201
USER 1,Denon,2,-1,201
VDP,Denon,2,-1,202
VDP MAIN,Denon,2,-1,202
MUSIC SERVER,Denon,2,-1,204
VIDEO AUX,Denon,2,-1,204
V AUX MAIN,Denon,2,-1,204
VCR 1,Denon,2,-1,205
VCR 1 MAIN,Denon,2,-1,205
VCR 2,Denon,2,-1,206
VCR2 MAIN,Denon,2,-1,206
TAPE 1,Denon,2,-1,210
TAPE MAIN,Denon,2,-1,210
VIDEO SELECT,Denon,2,-1,216
RIGHT ARROW,Denon,2,-1,221
ON SCREEN,Denon,2,-1,223
OSD,Denon,2,-1,223
SELECT/ENTER,Denon,2,-1,224
POWER ON MAIN,Denon,2,-1,225
POWER OFF MAIN,Denon,2,-1,226
DVD,Denon,2,-1,227
DVD MAIN,Denon,2,-1,227
SURR STANDARD,Denon,2,-1,228
SURR STD MAIN,Denon,2,-1,228
SURR SIM MAIN,Denon,2,-1,230
TEST,Denon,2,-1,234
SPEAKER,Denon,2,-1,237
MUTE,Denon,2,-1,240
VOLUME + MAIN,Denon,2,-1,241
VOLUME +,Denon,2,-1,241
VOLUME - MAIN,Denon,2,-1,242
VOLUME -,Denon,2,-1,242
