functionname,protocol,device,subdevice,function
DECK A/B,Denon,4,-1,83
TAPE-A/B,Denon,4,-1,83
A/B,Denon,4,-1,83
DECK SELECT A/B,Denon,4,-1,83
DECK REV PLAY <,Denon,4,-1,87
DECK < REV PLAY),Denon,4,-1,87
TAPE-REVERSE PLAY,Denon,4,-1,87
DECK R.PLAY <,Denon,4,-1,87
DECK PLAY(REV) <,Denon,4,-1,87
DECK FFWD >>,Denon,4,-1,90
DECK FF >>,Denon,4,-1,90
DECK >> (REC SLCT),Denon,4,-1,90
TAPE-FF,Denon,4,-1,90
DECK FF >>,Denon,4,-1,90
DECK REW <<,Denon,4,-1,91
DECK << (VIDEO SLCT),Denon,4,-1,91
TAPE-RW,Denon,4,-1,91
DECK REW << ,Denon,4,-1,91
DECK PLAY >,Denon,4,-1,92
DECK PLAY > (CD DRCT,Denon,4,-1,92
TAPE-FORWARD PLAY,Denon,4,-1,92
DECK PAUSE ,Denon,4,-1,93
TAPE-PAUSE,Denon,4,-1,93
DECK STOP [],Denon,4,-1,94
TAPE-STOP,Denon,4,-1,94
DECK REC,Denon,4,-1,95
DECK RECORD (PANEL),Denon,4,-1,95
WIDE SCREEN,Denon,4,-1,129
MODE WIDE SCREEN,Denon,4,-1,129
MODE: SUPER STADIU,Denon,4,-1,130
MODE SUPER STADIUM,Denon,4,-1,130
MODE SUPERSTADIUM,Denon,4,-1,130
MODE: ROCK ARENA,Denon,4,-1,131
ROCK ARENA,Denon,4,-1,131
MODE ROCK ARENA,Denon,4,-1,131
MODE: JAZZ CLUB,Denon,4,-1,132
JAZZ CLUB,Denon,4,-1,132
MODE JAZZ CLUB,Denon,4,-1,132
MODE: CLASS. CONCERT,Denon,4,-1,133
MODE CLASSIC CONCERT,Denon,4,-1,133
MODE CLASS.CONCERT,Denon,4,-1,133
MODE: MONO MOVIE,Denon,4,-1,134
MONO MOVIE,Denon,4,-1,134
MODE MONO MOVIE,Denon,4,-1,134
MODE: MATRIX,Denon,4,-1,135
MATRIX,Denon,4,-1,135
MODE MATRIX,Denon,4,-1,135
VIDEO GAME,Denon,4,-1,136
MODE VIDEO GAME,Denon,4,-1,136
VIRTUAL,Denon,4,-1,137
VIRTUAL SURROUND,Denon,4,-1,137
MODE VIRTUAL,Denon,4,-1,137
DSP - VIRTUAL SURROU,Denon,4,-1,137
THX ULTRA2 CINEMA,Denon,4,-1,138
THX MUSIC MODE,Denon,4,-1,139
THX SURROUND EX,Denon,4,-1,140
DTS NEO-6 CINEMA,Denon,4,-1,141
NEO:6 CINEMA,Denon,4,-1,141
MODE DTS CINEMA,Denon,4,-1,141
DTS NEO-6 MUSIC,Denon,4,-1,142
NEO:6 MUSIC,Denon,4,-1,142
MODE DTS MUSIC,Denon,4,-1,142
DOLBY PLII CINEMA,Denon,4,-1,143
PL II X/PL II CINEMA,Denon,4,-1,143
MODE DOLBYPLII CIN.,Denon,4,-1,143
MODE DOLBY CINEMA,Denon,4,-1,143
DOLBY PLII MUSIC,Denon,4,-1,144
PL II X/PL II MUSIC,Denon,4,-1,144
MODE DOLBYPLII MUSIC,Denon,4,-1,144
MODE DOLBY MUSIC,Denon,4,-1,144
DOLBY PLII EMUL.,Denon,4,-1,145
DOLBY PL,Denon,4,-1,145
MODE DOLBY PL,Denon,4,-1,145
DTS ES MATRIX,Denon,4,-1,147
MODE DTS ES MATRIX,Denon,4,-1,147
DOLBY DIGITAL EX,Denon,4,-1,148
MODE DOLBY DIG. EX,Denon,4,-1,148
CINEMA MODE,Denon,4,-1,149
CINEMA,Denon,4,-1,149
SS CINEMA,Denon,4,-1,149
CINEMA SURROUND MODE,Denon,4,-1,149
MODE CINEMA,Denon,4,-1,149
DSP - CINEMA,Denon,4,-1,149
SURROUND CINEMA,Denon,4,-1,149
SM CINEMA,Denon,4,-1,149
SURR CINEMA MAIN,Denon,4,-1,149
MAIN CINE,Denon,4,-1,149
DOLBY/DTS CINEMA,Denon,4,-1,149
SURR CINEMA,Denon,4,-1,149
MUSIC MODE,Denon,4,-1,150
,Denon,4,-1,150
SRND MUSIC,Denon{1},4,-1,150
MUSIC,Denon,4,-1,150
SS MUSIC,Denon,4,-1,150
MUSIC SURROUND MODE,Denon,4,-1,150
MODE MUSIC,Denon,4,-1,150
DSP - MUSIC,Denon,4,-1,150
SM PURE DIRECT,Denon,4,-1,150
SURR MUSIC MAIN,Denon,4,-1,150
MAIN MUSI,Denon,4,-1,150
DOLBY/DTS MUSIC,Denon,4,-1,150
SURR MUSIC,Denon,4,-1,150
GAME MODE,Denon,4,-1,151
SRND GAME,Denon,4,-1,151
MODE GAME,Denon,4,-1,151
GAME,Denon,4,-1,151
SM GAME,Denon,4,-1,151
SM MUSIC,Denon,4,-1,151
SURR GAME MAIN,Denon,4,-1,151
NIGHT,Denon,4,-1,152
SS NIGHT,Denon,4,-1,152
MODE NIGHT,Denon,4,-1,152
SS NIGHT MODE,Denon,4,-1,152
MAIN NGT,Denon,4,-1,152
ROOM EQ,Denon,4,-1,157
MODE ROOM EQ,Denon,4,-1,157
SS ROOM EQ,Denon,4,-1,157
SS EQ,Denon,4,-1,157
EQUALIZER,Denon,4,-1,157
MAIN EQ,Denon,4,-1,157
EQ,Denon,4,-1,157
INPUT MODE AUTO ALT,Denon,4,-1,179
INPUT MODE AUTO,Denon,4,-1,179
MODE INPUT AUTO,Denon,4,-1,179
INPUT MODE PCM ALT,Denon,4,-1,180
INPUT MODE PCM,Denon,4,-1,180
MODE INPUT PCM,Denon,4,-1,180
INPUT MODE DTS ALT,Denon,4,-1,181
INPUT MODE DTS,Denon,4,-1,181
MODE INPUT DTS,Denon,4,-1,181
INPUT MODE RF,Denon,4,-1,182
INPUT MODE EXTIN1,Denon,4,-1,183
INPUT MODE EXT.IN,Denon,4,-1,183
MODE INP.EXT.IN D.4,Denon,4,-1,183
INPUT EXT. IN (D.4),Denon,4,-1,183
INPUT MODE EXTIN2,Denon,4,-1,184
MAIN ZONE ON,Denon,4,-1,185
MAIN ZONE OFF,Denon,4,-1,186
MULTI ZONE 2 ON,Denon,4,-1,187
MULTI ZONE 2 OFF,Denon,4,-1,188
DAT SRCH FWD >>,Denon,4,-1,216
DAT SRCH FF >>,Denon,4,-1,216
DAT ,Denon,4,-1,216
DAT SRCH >>,Denon,4,-1,216
DAT SRCH REV ,Denon,4,-1,217
DAT ,Denon,4,-1,217
DAT SRCH ,Denon,4,-1,217
DAT FFWD >>,Denon,4,-1,218
DAT FF >>,Denon,4,-1,218
DAT >> (VCR1),Denon,4,-1,218
DAT REW <<,Denon,4,-1,219
DAT << (VCR2),Denon,4,-1,219
DAT PLAY >,Denon,4,-1,220
DAT PLAY > (PHONO),Denon,4,-1,220
DAT PAUSE ,Denon,4,-1,221
DAT PAUSE ,Denon,4,-1,221
DAT STOP [],Denon,4,-1,222
DAT STOP [] (CD),Denon,4,-1,222
DAT REC,Denon,4,-1,223
DAT RECORD (VAUX),Denon,4,-1,223
SURR CINEMA,Denon,4,-1,149
SURR MUSIC,Denon,4,-1,150
ROOM EQ,Denon,4,-1,157
